"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.990479231E-2,4.013874531E-1,-4.442993402E-1,-1.966563314E-1
3.994479217E-2,3.482735753E-1,-7.566144466E-1,-8.819896728E-2
5.998479202E-2,1.297028810E-1,-9.543831944E-1,-1.635316014E-1
8.002479188E-2,1.067176163E-1,-1.091181636E0,-2.256776206E-2
1.000647917E-1,-4.425385296E-1,-6.146999598E-1,-1.295007579E-2
1.201047925E-1,-6.570580602E-1,-8.179899454E-1,-9.623255581E-3
1.401447924E-1,-8.261687160E-1,-7.255373597E-1,1.570055960E-3
1.601847922E-1,-7.475295067E-1,-2.968074679E-1,3.966066241E-2
1.802247921E-1,-5.132849216E-1,-8.858138323E-2,5.872283131E-2
2.002647920E-1,-3.917991519E-1,-1.298094988E-1,1.070389990E-2
2.203047918E-1,-2.162951529E-1,-3.023055196E-1,-6.513528526E-2
2.403447917E-1,-5.198952183E-2,-2.729780376E-1,-1.109839529E-1
2.603847925E-1,3.454489410E-1,2.656197846E-1,1.111634299E-1
2.804247923E-1,1.214219257E-1,3.486419022E-1,3.268990517E-1
3.004647922E-1,-2.058269083E-1,2.225720324E-3,5.125579834E-1
3.205047920E-1,-3.098406494E-1,3.819507062E-1,3.640973866E-1
3.405447919E-1,-1.195886452E-2,9.219152927E-1,1.040334776E-1
3.605847917E-1,-7.041580230E-2,8.265506625E-1,2.479483485E-1
3.806247925E-1,-2.116972581E-2,4.735741615E-1,3.374225795E-1
4.006647924E-1,-8.763029575E-1,-9.325757623E-2,5.418404341E-1
4.207047923E-1,-9.448362589E-1,-2.966722548E-1,8.263571858E-1
4.407447921E-1,-4.793352485E-1,-1.442561448E-1,1.113180637E0
4.607847920E-1,-2.213950455E-1,1.836612821E-1,9.066323042E-1
4.808247918E-1,-5.125587583E-1,-1.098484546E-1,6.943013072E-1
5.008647917E-1,-9.772931933E-1,-2.602361441E-1,6.734165549E-1
5.209047925E-1,-1.277202845E0,3.721418977E-2,7.872141004E-1
5.409447923E-1,-1.507323027E0,5.003495514E-2,9.233765602E-1
5.609854590E-1,-1.482900620E0,-5.528970957E-1,1.575662613E0
5.810254589E-1,-1.161914825E0,-5.504087210E-1,1.820450187E0
6.010654587E-1,-8.257530928E-1,-4.789093733E-1,1.380592823E0
6.211054586E-1,-7.491216660E-1,-2.879532576E-1,9.952052832E-1
6.411454584E-1,-7.341216803E-1,-4.673554897E-1,1.118353486E0
6.611854583E-1,-5.801514387E-1,-1.227969527E0,1.216330528E0
6.812254591E-1,-6.299228072E-1,-1.437098742E0,7.450603843E-1
7.012654589E-1,-5.097723007E-1,-8.855004907E-1,2.433633953E-1
7.213054588E-1,-1.066496596E-1,-1.873104125E-1,-1.374937408E-2
7.413454587E-1,3.667887151E-1,2.033054978E-1,1.542683244E-1
7.613854585E-1,7.751280665E-1,8.497136086E-2,4.578109980E-1
7.814254584E-1,8.802239895E-1,-8.633839339E-2,4.084589481E-1
8.014654592E-1,6.968898773E-1,-1.248143390E-1,3.702547848E-1
8.215054590E-1,3.493250310E-1,-1.785047650E-1,6.484296918E-1
8.415454589E-1,-6.348435581E-2,-2.949198782E-1,9.820825458E-1
8.615854587E-1,-2.528198957E-1,-6.721799970E-1,1.116737723E0
8.816254586E-1,-1.992297918E-1,-1.054982305E0,1.092946649E0
9.016654585E-1,-1.276038140E-1,-1.133476615E0,1.204037905E0
9.217054583E-1,1.088729128E-2,-9.435619712E-1,1.224018335E0
9.417454591E-1,-1.946034431E-1,-5.827302337E-1,1.290492535E0
9.617854590E-1,-7.297216058E-1,-2.649687827E-1,1.384865761E0
9.818254588E-1,-1.040975690E0,-3.457717001E-1,1.306372404E0
1.001865459E0,-7.696975470E-1,-7.860840559E-1,1.155076623E0
1.021905459E0,-5.920377374E-1,-1.094119191E0,1.261971712E0
1.041945458E0,-6.670423746E-1,-1.004898310E0,1.368883491E0
1.061985459E0,-3.557242453E-1,-8.889656067E-1,1.299566388E0
1.082025459E0,-1.329784244E-1,-9.426508546E-1,1.286144137E0
1.102065459E0,-1.173939705E-1,-1.116659164E0,1.169547677E0
1.122105459E0,-2.725925744E-1,-1.280599713E0,1.103352070E0
1.142145459E0,-2.868492901E-1,-1.323183060E0,8.493802547E-1
1.162185458E0,-7.562800497E-2,-1.423482537E0,3.935537636E-1
1.182225458E0,1.384763420E-1,-1.448468804E0,-1.588753760E-1
1.202265459E0,2.034101635E-1,-1.295738935E0,-5.390219688E-1
1.222305459E0,2.099867761E-1,-1.203313828E0,-6.549791098E-1
1.242345459E0,2.704283595E-1,-1.169963002E0,-7.409065962E-1
1.262385459E0,5.765787363E-1,-1.254567862E0,-9.531158805E-1
1.282425459E0,6.726015210E-1,-1.281315923E0,-1.099270701E0
1.302465458E0,4.550217688E-1,-1.400335312E0,-1.192996860E0
1.322505459E0,3.488674462E-1,-1.607073545E0,-1.356661558E0
1.342545459E0,3.310158849E-1,-1.648836136E0,-1.662021875E0
1.362585459E0,2.639103234E-1,-1.268261671E0,-1.846521735E0
1.382625459E0,1.382791400E-1,-6.514552236E-1,-1.897651196E0
1.402665459E0,-3.730214387E-2,-1.166606918E-1,-2.341611385E0
1.422705458E0,-5.408405066E-1,1.898275465E-1,-2.980820656E0
1.442745458E0,-1.056279778E0,4.112476707E-1,-3.532941103E0
1.462785459E0,-1.396536827E0,8.369817734E-1,-3.352587700E0
1.482825459E0,-1.422725439E0,1.447778225E0,-3.113665581E0
