"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.990479231E-2,2.694002286E-1,1.590758407E-1,9.974987376E-1
3.994479217E-2,6.072561496E-1,3.274670269E-1,9.437376827E-1
5.998479202E-2,6.008630964E-1,-5.679865417E-1,1.222079766E-1
8.002479188E-2,2.986149645E-1,-1.510863514E-1,2.630720794E-1
1.000647917E-1,-1.007885878E0,-6.724846177E-1,-1.435335322E0
1.201047925E-1,-1.619254813E-2,3.732371306E-1,-1.612871992E0
1.401447924E-1,6.982173367E-1,6.779725219E-1,-2.316418335E0
1.601847922E-1,9.221140945E-1,4.895451935E-1,-2.857296892E0
1.802247921E-1,7.735860461E-1,5.103354804E-1,-1.931088578E0
2.002647920E-1,2.288951039E-1,4.561981572E-1,-9.334576929E-1
2.203047918E-1,-1.319918302E-1,2.645819036E-1,-8.975142735E-1
2.403447917E-1,1.017954491E0,1.009406300E-1,-1.549810941E0
2.603847925E-1,2.007538583E0,2.024524891E0,-3.891856452E0
2.804247923E-1,3.693269514E-1,2.415625412E0,-1.550298598E0
3.004647922E-1,7.546752736E-1,1.704212956E0,-9.333027416E-1
3.205047920E-1,1.424697336E0,2.589300580E-2,-1.078510741E0
3.405447919E-1,5.967125966E-1,-3.852049193E-1,-2.221557201E0
3.605847917E-1,-9.943590751E-1,1.206962959E0,1.191985316E0
3.806247925E-1,-1.336631983E0,2.007399127E0,1.804089392E0
4.006647924E-1,-1.736689999E0,2.265929967E0,4.924603960E0
4.207047923E-1,-2.024096582E0,6.140023747E-1,2.496794997E0
4.407447921E-1,-1.201227864E0,-2.040815380E0,5.308517522E-1
4.607847920E-1,-1.370772413E0,-3.009708369E0,-1.197187584E0
4.808247918E-1,-2.520288525E0,-2.172792884E0,3.769109362E-1
5.008647917E-1,-1.762901021E0,-8.912953942E-1,2.186431807E-1
5.209047925E-1,-5.932758956E-1,8.260213910E-1,-2.797313815E-1
5.409447923E-1,-1.126938550E0,2.314967787E0,1.236491398E0
5.609854590E-1,-1.546975187E0,3.226917228E0,2.414752715E0
