"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.990479231E-2,-1.699710083E1,-2.723930740E1,-3.717239380E1
3.994479217E-2,-1.741183472E1,-2.754601669E1,-3.664669800E1
5.998479202E-2,-1.780627441E1,-2.770331192E1,-3.623333740E1
8.002479188E-2,-1.836370850E1,-2.798276138E1,-3.598089600E1
1.000647917E-1,-1.908757019E1,-2.793043900E1,-3.569580078E1
1.201047925E-1,-1.983221436E1,-2.739992905E1,-3.572177124E1
1.401447924E-1,-2.023474121E1,-2.698209000E1,-3.589770508E1
1.601847922E-1,-2.065008545E1,-2.625317001E1,-3.619979858E1
1.802247921E-1,-2.059977722E1,-2.609318161E1,-3.664608765E1
2.002647920E-1,-2.059065247E1,-2.555937576E1,-3.646865845E1
2.203047918E-1,-2.085444641E1,-2.544798660E1,-3.622912598E1
2.403447917E-1,-2.087963867E1,-2.544399643E1,-3.641986084E1
2.603847925E-1,-2.089442444E1,-2.534955215E1,-3.668313599E1
2.804247923E-1,-2.068717957E1,-2.560535049E1,-3.626293945E1
3.004647922E-1,-2.103833008E1,-2.536658096E1,-3.644296265E1
3.205047920E-1,-2.084718323E1,-2.497591782E1,-3.663891602E1
3.405447919E-1,-2.035548401E1,-2.483358383E1,-3.688269043E1
3.605847917E-1,-1.976904297E1,-2.443806839E1,-3.702078247E1
3.806247925E-1,-1.961227417E1,-2.427733231E1,-3.719528198E1
4.006647924E-1,-1.971586609E1,-2.407567215E1,-3.777188110E1
4.207047923E-1,-2.034471130E1,-2.286336136E1,-3.809747314E1
4.407447921E-1,-2.077445984E1,-2.229281998E1,-3.809375000E1
4.607847920E-1,-2.088191223E1,-2.179409409E1,-3.839895630E1
4.808247918E-1,-2.117762756E1,-2.097413254E1,-3.856030273E1
5.008647917E-1,-2.174844360E1,-1.993284988E1,-3.894827271E1
5.209047925E-1,-2.212193298E1,-1.883829117E1,-3.924084473E1
5.409447923E-1,-2.213017273E1,-1.758623886E1,-4.011526489E1
5.609854590E-1,-2.312133789E1,-1.555879593E1,-4.043353271E1
5.810254589E-1,-2.401188660E1,-1.377482224E1,-4.026556396E1
6.010654587E-1,-2.490791321E1,-1.201194382E1,-4.015017700E1
6.211054586E-1,-2.551516724E1,-1.077617264E1,-4.047540283E1
6.411454584E-1,-2.613423157E1,-9.722316742E0,-4.026278687E1
6.611854583E-1,-2.710302734E1,-8.586406708E0,-3.968853760E1
6.812254591E-1,-2.837675476E1,-7.614284515E0,-3.933770752E1
7.012654589E-1,-2.934909058E1,-6.972545624E0,-3.894506836E1
7.213054588E-1,-2.975646973E1,-6.606845856E0,-3.837704468E1
7.413454587E-1,-2.974780273E1,-6.709766388E0,-3.879278564E1
7.613854585E-1,-2.971354675E1,-6.902469635E0,-3.838256836E1
7.814254584E-1,-2.954138184E1,-7.237934113E0,-3.821899414E1
8.014654592E-1,-2.956927490E1,-7.601688385E0,-3.833721924E1
8.215054590E-1,-3.002040100E1,-7.597751617E0,-3.831271362E1
8.415454589E-1,-2.999264526E1,-7.230899811E0,-3.796817017E1
8.615854587E-1,-3.077450562E1,-6.711376190E0,-3.791940308E1
8.816254586E-1,-3.165588379E1,-5.787563324E0,-3.700970459E1
9.016654585E-1,-3.259597778E1,-5.057415009E0,-3.685504150E1
9.217054583E-1,-3.350370789E1,-4.115795135E0,-3.637783813E1
9.417454591E-1,-3.413941956E1,-3.389682770E0,-3.563357544E1
9.617854590E-1,-3.466140747E1,-1.931575775E0,-3.503659058E1
9.818254588E-1,-3.458076477E1,-5.184059143E-1,-3.476492310E1
1.001865459E0,-3.504472351E1,7.411842346E-1,-3.504690552E1
1.021905459E0,-3.585621643E1,2.178375244E0,-3.414709473E1
1.041945458E0,-3.636700439E1,3.656879425E0,-3.338955688E1
1.061985459E0,-3.681542969E1,4.941661835E0,-3.249975586E1
1.082025459E0,-3.724015808E1,5.913825989E0,-3.154330444E1
1.102065459E0,-3.784948730E1,7.023159027E0,-3.101821899E1
1.122105459E0,-3.810688782E1,7.916423798E0,-3.006768799E1
1.142145459E0,-3.857096863E1,9.067459106E0,-2.899899292E1
1.162185458E0,-3.936044312E1,9.601570129E0,-2.813647461E1
1.182225458E0,-4.026033020E1,9.807018280E0,-2.659313965E1
1.202265459E0,-4.090943909E1,9.505298615E0,-2.589013672E1
1.222305459E0,-4.165496826E1,8.874580383E0,-2.482720947E1
1.242345459E0,-4.237899780E1,8.357467651E0,-2.404553223E1
1.262385459E0,-4.287823486E1,7.192649841E0,-2.348580933E1
1.282425459E0,-4.377380371E1,6.158740997E0,-2.258874512E1
1.302465458E0,-4.450704956E1,4.954669952E0,-2.110699463E1
1.322505459E0,-4.503141785E1,3.779342651E0,-2.029101562E1
1.342545459E0,-4.588095093E1,2.469146729E0,-1.840377808E1
1.362585459E0,-4.645410156E1,4.923171997E-1,-1.719613647E1
1.382625459E0,-4.663018799E1,-8.572425842E-1,-1.584573364E1
1.402665459E0,-4.674043274E1,-2.886219025E0,-1.556008911E1
1.422705458E0,-4.651100159E1,-5.189281464E0,-1.578045654E1
1.442745458E0,-4.598200989E1,-7.905124664E0,-1.624542236E1
1.462785459E0,-4.514584351E1,-1.055707932E1,-1.678817749E1
1.482825459E0,-4.427111816E1,-1.307708359E1,-1.792694092E1
1.502865459E0,-4.269331360E1,-1.559823227E1,-2.019281006E1
1.522905459E0,-4.091107178E1,-1.764651871E1,-2.186312866E1
1.542945459E0,-3.844770813E1,-1.977334213E1,-2.398986816E1
