"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.747303247E-1,3.211714408E1,1.189509856E2,1.858381244E1,0.000000000E0,5.964527294E1,4.770181610E0,4.770181610E0
1.274732471E0,3.211714646E1,1.189509895E2,1.847583550E1,0.000000000E0,5.964527507E1,4.779360168E0,4.779360168E0
2.274733901E0,3.211715053E1,1.189509974E2,1.836031577E1,5.968669507E-1,4.831918827E1,4.752023582E0,4.752023582E0
3.274737358E0,3.211714808E1,1.189510075E2,1.831280228E1,8.015080139E-1,6.773351839E1,4.738694083E0,4.738694083E0
4.274739742E0,3.211715638E1,1.189510147E2,1.899810405E1,8.135643019E-1,5.420478680E1,4.753039526E0,4.753039526E0
5.274742126E0,3.211716366E1,1.189510248E2,1.891062344E1,1.288461582E0,5.276347153E1,4.745926896E0,4.745926896E0
6.274744034E0,3.211717591E1,1.189510327E2,1.919895413E1,1.276032261E0,5.435685548E1,4.733741254E0,4.733741254E0
7.274748087E0,3.211716473E1,1.189510394E2,1.815244255E1,9.572243939E-1,7.818283061E1,4.743471405E0,4.743471405E0
8.274750590E0,3.211716036E1,1.189510422E2,1.893173870E1,6.262910385E-1,8.079985875E1,4.750015365E0,4.750015365E0
9.274754524E0,3.211716784E1,1.189510470E2,2.091374875E1,6.847866338E-1,6.007844276E1,4.743705598E0,4.743705598E0
1.027475929E1,3.211718025E1,1.189510610E2,2.027703496E1,1.112566960E0,5.848092359E1,4.740238315E0,4.740238315E0
1.127476132E1,3.211718418E1,1.189510744E2,2.035038304E1,1.295304972E0,6.487078092E1,4.745170001E0,4.745170001E0
1.227476549E1,3.211718282E1,1.189510830E2,2.065744516E1,9.304780655E-1,6.973317443E1,4.747570600E0,4.747570600E0
1.327476990E1,3.211718422E1,1.189510957E2,2.131366593E1,1.053808512E0,7.130508859E1,4.736680763E0,4.736680763E0
1.427477312E1,3.211718691E1,1.189511047E2,2.110099718E1,1.032700551E0,7.062829938E1,4.741824705E0,4.741824705E0
1.527477825E1,3.211719590E1,1.189511179E2,2.122645140E1,1.116172896E0,6.044827584E1,4.744834577E0,4.744834577E0
1.627478206E1,3.211720472E1,1.189511307E2,2.104011524E1,1.324308954E0,6.384084736E1,4.736865038E0,4.736865038E0
