"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.893069029E-1,3.211730714E1,1.189520286E2,1.939157960E1,0.000000000E0,2.443916046E2,4.940501785E0,4.940501785E0
1.389282465E0,3.211731328E1,1.189520292E2,1.921314821E1,0.000000000E0,2.443916042E2,4.915767978E0,4.915767978E0
2.389275074E0,3.211731924E1,1.189520189E2,1.913604399E1,0.000000000E0,2.443915976E2,4.977701616E0,4.977701616E0
3.389251947E0,3.211731380E1,1.189520300E2,1.938917731E1,9.374915841E-1,1.434619286E2,5.014041265E0,5.014041265E0
4.389244676E0,3.211733512E1,1.189520047E2,1.922773069E1,0.000000000E0,1.467803625E2,5.004573189E0,5.004573189E0
5.389224887E0,3.211730725E1,1.189519942E2,1.965827877E1,1.321350472E0,2.071935798E2,5.015830907E0,5.015830907E0
6.389220953E0,3.211731241E1,1.189519776E2,1.932450537E1,1.118357934E0,2.227528606E2,5.043314535E0,5.043314535E0
7.389208436E0,3.211730548E1,1.189519674E2,1.865974433E1,1.441644585E0,2.265326248E2,4.977311963E0,4.977311963E0
8.389203310E0,3.211731434E1,1.189519571E2,1.868231220E1,1.181393375E0,2.328152254E2,4.950983048E0,4.950983048E0
9.389183640E0,3.211734187E1,1.189519379E2,2.016829973E1,9.330169165E-1,2.699537686E2,4.949543604E0,4.949543604E0
1.038918018E1,3.211734639E1,1.189519405E2,1.987379523E1,0.000000000E0,2.758357290E2,4.943057245E0,4.943057245E0
1.138917804E1,3.211733800E1,1.189519422E2,1.978178174E1,0.000000000E0,2.758357383E2,4.943887469E0,4.943887469E0
1.238917637E1,3.211732099E1,1.189519205E2,1.958369293E1,9.930429392E-1,2.272797483E2,4.950039729E0,4.950039729E0
1.338917327E1,3.211730788E1,1.189518929E2,1.924662622E1,1.954808677E0,2.244511596E2,4.872296657E0,4.872296657E0
1.438917243E1,3.211730917E1,1.189518853E2,1.919754694E1,1.581781453E0,2.274138145E2,4.842290789E0,4.842290789E0
1.538917041E1,3.211732130E1,1.189518799E2,1.944794510E1,8.169710647E-1,2.446653086E2,4.809182589E0,4.809182589E0
1.638916922E1,3.211731959E1,1.189518710E2,1.950481894E1,6.782604877E-1,2.467194600E2,4.806515482E0,4.806515482E0
1.738916898E1,3.211731901E1,1.189518639E2,1.969728693E1,7.456198238E-1,2.556289117E2,4.796957443E0,4.796957443E0
1.838916850E1,3.211730877E1,1.189518488E2,1.987277537E1,1.016535603E0,2.439386068E2,4.803488376E0,4.803488376E0
1.938916838E1,3.211731949E1,1.189518252E2,1.976817514E1,1.276123817E0,2.693274210E2,4.803705051E0,4.803705051E0
2.038916790E1,3.211731745E1,1.189518124E2,2.001855957E1,1.330130212E0,2.676735227E2,4.797677604E0,4.797677604E0
2.138916731E1,3.211730420E1,1.189518084E2,1.974496625E1,9.280206086E-1,2.414922925E2,4.794008952E0,4.794008952E0
2.238916779E1,3.211731393E1,1.189518027E2,1.980130827E1,5.057041231E-1,2.716357032E2,4.793133570E0,4.793133570E0
2.338916779E1,3.211731750E1,1.189518079E2,1.973087528E1,0.000000000E0,2.776432498E2,4.804555503E0,4.804555503E0
2.438916767E1,3.211733177E1,1.189517962E2,1.892663855E1,8.504212813E-1,3.280692425E2,4.866060260E0,4.866060260E0
2.538916886E1,3.211732406E1,1.189517826E2,1.894640356E1,6.327781721E-1,3.001567343E2,4.849450438E0,4.849450438E0
2.638916969E1,3.211730871E1,1.189517582E2,1.916242880E1,9.400855782E-1,2.574880782E2,4.884192599E0,4.884192599E0
2.738917100E1,3.211730630E1,1.189517463E2,1.925170627E1,1.044443413E0,2.634660032E2,4.851617470E0,4.851617470E0
2.838917112E1,3.211729493E1,1.189517345E2,1.932752566E1,1.020234854E0,2.549897957E2,4.802498793E0,4.802498793E0
2.938917196E1,3.211728775E1,1.189517256E2,1.946721849E1,7.409915565E-1,2.446552597E2,4.810887668E0,4.810887668E0
3.038917303E1,3.211729440E1,1.189517028E2,1.952221027E1,8.757328886E-1,2.672648679E2,4.809635684E0,4.809635684E0
3.138917542E1,3.211730110E1,1.189516865E2,1.977049105E1,9.952116269E-1,2.944557080E2,4.767935588E0,4.767935588E0
3.238917577E1,3.211729736E1,1.189516904E2,2.037859099E1,4.164631732E-1,2.782729212E2,4.752808657E0,4.752808657E0
3.338917780E1,3.211729491E1,1.189516769E2,2.134199186E1,7.819195158E-1,2.635881399E2,4.737303131E0,4.737303131E0
3.438917899E1,3.211730353E1,1.189516797E2,2.190219932E1,6.946548037E-1,2.900530504E2,4.741146121E0,4.741146121E0
