"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.502458334E-3,1.085692291E0,4.982389069E0,8.228089600E0
2.343945834E-2,1.320703583E0,5.089416504E0,8.042325897E0
4.337645834E-2,1.284029846E0,5.033283234E0,7.972720642E0
6.331445836E-2,1.291065216E0,5.029241638E0,7.921377411E0
8.325145836E-2,1.473535767E0,4.927303619E0,8.026907959E0
1.031884584E-1,1.522184601E0,5.101241913E0,8.305029602E0
1.231264584E-1,1.853894806E0,5.363795929E0,8.406967621E0
1.430634584E-1,2.728526001E0,5.713618469E0,8.835676117E0
1.630004584E-1,2.855761414E0,5.171745300E0,8.892557831E0
1.829384584E-1,1.971849518E0,4.217779083E0,9.347461853E0
2.028754583E-1,2.167492676E0,4.838837585E0,8.363258514E0
2.228124583E-1,1.901645508E0,5.151687012E0,8.053702240E0
2.427504583E-1,2.589465179E0,4.101171570E0,8.998537445E0
2.626874583E-1,2.933898926E0,4.926704865E0,7.773784332E0
2.826244583E-1,3.921694794E0,4.486470337E0,9.146878967E0
3.025624583E-1,2.987936554E0,4.481680298E0,8.401429138E0
3.224994583E-1,3.698508911E0,4.238735504E0,7.242838440E0
3.424364583E-1,3.469634857E0,3.845503235E0,7.640711060E0
3.623744583E-1,2.267634430E0,3.171155548E0,8.657247162E0
3.823114584E-1,-4.628375244E-1,3.513942719E0,9.183552704E0
4.022484584E-1,1.010099487E0,2.033521271E0,8.571026459E0
4.221864584E-1,1.517095184E0,1.378483429E0,8.361911316E0
4.421234584E-1,1.835333405E0,1.106798401E0,8.321645050E0
4.620604584E-1,1.895508270E0,6.373745728E-1,9.612859955E0
4.819984584E-1,2.407144318E0,-8.907975769E-1,9.010063477E0
5.019354584E-1,2.323019257E0,-1.900597687E0,7.815846863E0
5.218724584E-1,1.750609589E0,-1.651066589E-1,7.209008789E0
5.418104583E-1,1.248104553E0,-3.329077148E-1,7.358248444E0
5.617474583E-1,1.406624908E0,-7.310797119E-1,8.578810272E0
5.816844583E-1,2.559078369E0,7.349716187E-2,8.456514587E0
6.016224583E-1,1.645677795E0,2.205812988E0,6.990463257E0
6.215594583E-1,-8.562194824E-2,3.716172180E0,6.974296875E0
6.414964583E-1,-1.943109283E0,3.194506989E0,7.623347168E0
6.614344583E-1,1.066981201E0,3.193608856E0,9.570647736E0
6.813714583E-1,4.119134216E0,5.215005341E0,1.092637848E1
7.013094584E-1,4.993615723E0,6.585106201E0,1.024185196E1
7.212464584E-1,4.237388306E0,6.519841919E0,9.305399323E0
7.411834584E-1,2.731669464E0,8.556656342E0,8.355624390E0
7.611214584E-1,4.786296844E0,9.083410950E0,8.858578491E0
7.810584584E-1,6.467301178E0,9.729617157E0,9.845326538E0
8.009954584E-1,8.247998199E0,9.884245605E0,9.703721008E0
8.209334584E-1,9.133257294E0,1.170925049E1,8.416398010E0
8.408704584E-1,9.193282471E0,1.211520630E1,6.606811066E0
8.608074583E-1,8.019124146E0,1.010877869E1,5.721701660E0
8.807460833E-1,8.794661407E0,8.628955994E0,3.826941833E0
9.006830833E-1,9.142238617E0,8.438551941E0,3.307072906E0
9.206200833E-1,8.832532654E0,6.845265198E0,2.549498291E0
9.405580834E-1,8.073610840E0,3.874243469E0,1.038690033E0
9.604950834E-1,7.568112030E0,2.856060791E0,8.071215820E-1
9.804330834E-1,8.004005585E0,2.743943939E0,-1.239422607E0
1.000370083E0,2.107587250E1,4.812791748E0,-1.045096710E1
1.020307083E0,1.156450150E1,5.696553955E0,-2.347268829E0
1.040245083E0,8.452323303E0,5.120402069E0,-1.748813324E0
1.060182083E0,6.063890076E0,4.837640076E0,2.332000580E0
1.080119083E0,1.145253433E1,6.450236664E0,6.169570312E0
1.100057083E0,7.714657288E0,7.342830505E0,4.417463837E0
1.119994083E0,5.821693726E0,6.076763306E0,5.012925568E0
1.139931083E0,5.459746399E0,5.247487793E0,7.199129333E0
1.159869083E0,6.054010620E0,4.890480194E0,2.791395264E0
1.179806083E0,3.809877319E0,5.722899170E0,-3.851490784E-1
1.199744083E0,5.074447632E0,5.826932831E0,-6.174659729E-1
1.219681083E0,8.912616119E0,3.311713257E0,3.695814514E-1
1.239618083E0,5.592220917E0,3.537294159E0,2.142045593E-1
1.259556083E0,3.401077423E0,4.881498871E0,-1.525328064E0
1.279493083E0,1.017374359E1,1.989961853E0,3.812422028E0
1.299430083E0,1.663909882E1,3.170856171E0,9.176667023E0
1.319368083E0,1.632475250E1,2.509830780E0,9.290879517E0
1.339305083E0,1.394769562E1,5.476661224E0,3.682043152E0
1.359243083E0,1.126931534E1,4.032913513E0,-9.240284729E-1
1.379180083E0,7.940387878E0,3.261417847E0,-4.204307098E0
1.399117083E0,7.688611450E0,8.988807678E-1,-5.370082855E0
1.419055083E0,6.642586670E0,1.190773773E0,-4.595294037E0
1.438992083E0,6.691534882E0,1.366059265E0,-5.301824799E0
1.458929083E0,8.650660858E0,1.399589539E-1,-1.294957123E0
1.478867083E0,7.019652557E0,-8.153544617E-1,5.599855042E-1
1.498804083E0,7.141199799E0,-1.657054138E0,1.413660278E0
1.518742083E0,6.692582703E0,-1.825903015E0,1.293310547E0
1.538679083E0,6.866520996E0,-1.504371643E0,4.810995483E-1
1.558616083E0,9.441616058E0,-1.375639343E0,-3.735482025E0
1.578554083E0,9.924661560E0,-5.797444153E-1,-3.447031860E0
1.598491083E0,1.479298782E1,1.204545135E0,-3.268752594E0
1.618429083E0,1.545146851E1,1.714235229E0,-2.753823395E0
1.638366083E0,1.703352859E1,1.634750519E0,-6.902595978E0
1.658303083E0,2.262739609E1,2.668800201E0,-1.257834320E0
1.678241083E0,1.152648056E1,4.880750427E0,-2.127376099E0
1.698178083E0,4.056115265E0,4.777315521E0,-3.154091034E0
1.718116083E0,5.837111664E0,5.640869751E0,-6.585255890E0
1.738053083E0,7.080126801E0,6.371051331E0,-5.988446960E0
1.757990083E0,8.017776947E0,7.451953583E0,-5.935756531E0
1.777928083E0,6.829847260E0,6.621480560E0,-7.150480499E0
1.797865083E0,5.692063293E0,6.744824066E0,-6.966513062E0
1.817802083E0,5.122946777E0,6.048322449E0,-5.788462830E0
1.837740083E0,6.148913269E0,4.779560852E0,-3.639980621E0
1.857677083E0,6.415059814E0,3.593577118E0,-1.806443481E0
1.877615000E0,6.625671844E0,3.345842285E0,-9.165440369E-1
1.897552000E0,7.058871002E0,3.646566925E0,-5.099894714E-1
1.917489000E0,7.763156433E0,4.488715668E0,7.012916565E-1
1.937427000E0,6.936275940E0,4.426295471E0,-2.899470520E-1
1.957364000E0,6.175707550E0,4.948559418E0,-1.148262177E0
1.977302000E0,5.866450653E0,5.495971069E0,-1.330283661E0
1.997239000E0,6.372248840E0,6.335874481E0,-1.640139313E0
2.017176000E0,6.525530090E0,7.703131256E0,-1.123713226E0
2.037114000E0,6.823560333E0,9.177864532E0,-2.283800812E0
2.057051000E0,6.852749634E0,1.004022125E1,-3.873794403E0
2.076989000E0,7.833360443E0,1.008632538E1,-4.578079834E0
2.096926000E0,6.670428772E0,9.147028656E0,-5.727838898E0
2.116863000E0,6.983427887E0,8.645721130E0,-6.423891449E0
2.136801000E0,9.028475189E0,9.003776550E0,-4.564757538E0
2.156738000E0,9.716743927E0,8.608897705E0,-2.648891602E0
2.176676000E0,8.998986511E0,7.226372681E0,-5.245092773E-1
2.196613000E0,6.772965546E0,5.618416443E0,-1.020877075E-1
2.216551000E0,6.149961090E0,5.161117401E0,-2.986289978E-1
2.236488000E0,6.826105042E0,5.613177338E0,-3.430865479E-1
2.256425000E0,7.806416473E0,5.491031342E0,2.031275940E-1
2.276363000E0,8.435857544E0,5.226531372E0,1.147813110E0
2.296300000E0,8.680149536E0,5.201982422E0,1.068029022E0
2.316238000E0,7.045548706E0,4.643793182E0,-4.201762390E-1
2.336175000E0,7.021149445E0,4.844974823E0,-9.560618591E-1
2.356112000E0,6.612499237E0,4.532125397E0,-1.350341949E0
2.376050000E0,6.148613892E0,4.230951691E0,-1.929637299E0
2.395987000E0,6.435866547E0,4.317172394E0,-2.193538513E0
2.415925000E0,6.634653168E0,4.329895935E0,-2.204016724E0
2.435862000E0,6.786437531E0,4.518054657E0,-2.284848633E0
2.455800000E0,6.693630524E0,4.866529999E0,-2.805915070E0
2.475737000E0,7.234306183E0,5.534590759E0,-2.821782074E0
2.495674000E0,7.114854584E0,6.447242889E0,-2.292333069E0
2.515612000E0,7.201973419E0,7.067552948E0,-2.304457855E0
2.535549000E0,7.410489807E0,7.120243378E0,-2.624043274E0
2.555487000E0,8.157586212E0,7.724836121E0,-2.429298248E0
2.575424000E0,8.773106232E0,7.622598724E0,-2.011217651E0
2.595361000E0,9.305249634E0,7.754175110E0,-1.691033478E0
2.615299000E0,9.914333038E0,8.417894897E0,-1.693877563E0
2.635236000E0,1.096634537E1,9.064400482E0,-1.957180023E0
2.655174000E0,1.172826096E1,8.742120667E0,-1.585951996E0
2.675111000E0,1.014156052E1,8.132438507E0,9.897418213E-1
2.695049000E0,8.501421204E0,6.517746277E0,1.992356873E-1
2.714986000E0,7.220085754E0,4.626878357E0,-8.702902222E-1
2.734923000E0,4.800367584E0,4.192781067E0,-6.282435608E-1
2.754861000E0,6.927144928E0,3.576662292E0,-6.881190491E-1
2.774798000E0,8.887767792E0,2.175276489E0,-1.314566345E0
2.794736000E0,8.839418335E0,5.343887329E-2,-3.930526428E0
2.814673000E0,7.016359406E0,2.850821686E0,-1.657203827E0
2.834611000E0,5.575306091E0,5.891748047E0,-1.414109344E0
2.854548000E0,5.255121918E0,7.109316101E0,-2.508483582E0
2.874484000E0,5.454956360E0,8.055648193E0,-3.121458893E0
2.894422000E0,5.726791077E0,7.165898438E0,-3.560046844E0
2.914359000E0,5.851631470E0,5.345982971E0,-2.387984161E0
2.934297000E0,4.100572815E0,4.408632202E0,-2.655627594E0
2.954234000E0,3.697610779E0,3.723057861E0,-2.876418457E0
2.974172000E0,4.599934387E0,3.725303192E0,-2.378553772E0
2.994109000E0,6.387367401E0,3.947740631E0,-2.048789520E0
3.014046000E0,8.551566925E0,4.674629059E0,-1.462608490E0
3.033984000E0,9.431586914E0,5.340594177E0,-1.175954590E0
3.053921000E0,9.089398499E0,6.162085876E0,-6.239025879E-1
3.073859000E0,1.103580093E1,8.139473877E0,3.356021118E-1
3.093796000E0,8.256829834E0,8.663683777E0,2.267185364E0
3.113734000E0,6.423442383E0,8.552914124E0,3.079695740E0
3.133671000E0,6.924899597E0,8.536897430E0,4.557722168E0
