"Time (s)","X (hPa)"
-5.741889167E-1,1.017470016E3
4.316670833E-1,1.017484970E3
1.437524083E0,1.017499924E3
2.443369083E0,1.017504807E3
3.449263083E0,1.017506943E3
3.800247083E0,1.017521362E3
4.873146083E0,1.017527542E3
5.946025083E0,1.017531891E3
7.018877083E0,1.017541809E3
8.091722083E0,1.017547455E3
9.164562083E0,1.017551727E3
1.023743308E1,1.017552795E3
1.131039808E1,1.017552795E3
1.238328108E1,1.017548981E3
1.345613708E1,1.017548981E3
1.452902608E1,1.017549744E3
1.560194908E1,1.017553635E3
1.667485008E1,1.017556152E3
1.774771408E1,1.017563400E3
1.882065208E1,1.017565536E3
1.989355008E1,1.017567673E3
2.096643508E1,1.017568054E3
2.203927308E1,1.017571106E3
2.311211008E1,1.017573547E3
2.418495708E1,1.017575226E3
2.525779708E1,1.017577209E3
2.633062108E1,1.017577209E3
2.740343808E1,1.017575226E3
2.847633908E1,1.017574234E3
2.954921308E1,1.017572556E3
3.062205608E1,1.017570038E3
3.169489208E1,1.017568130E3
3.276776408E1,1.017567215E3
3.384068108E1,1.017566910E3
3.491356008E1,1.017566910E3
3.598641808E1,1.017567749E3
3.705931608E1,1.017567749E3
3.813223608E1,1.017562637E3
3.920510708E1,1.017557220E3
4.027801708E1,1.017550888E3
4.135087108E1,1.017544327E3
4.242369308E1,1.017542877E3
4.349650108E1,1.017542801E3
4.456933808E1,1.017542801E3
4.564217608E1,1.017545319E3
4.671502808E1,1.017545319E3
4.778790108E1,1.017541962E3
4.886075308E1,1.017537994E3
4.993359008E1,1.017536316E3
5.100641308E1,1.017532806E3
5.207916308E1,1.017531662E3
5.315195608E1,1.017530441E3
5.422476608E1,1.017530441E3
5.529757608E1,1.017528381E3
5.637043008E1,1.017527008E3
5.744327308E1,1.017526245E3
5.851608708E1,1.017525558E3
5.958885208E1,1.017525177E3
6.066166408E1,1.017525558E3
6.173449208E1,1.017525558E3
6.280728108E1,1.017525558E3
6.388003108E1,1.017523727E3
6.495282408E1,1.017522202E3
6.602562308E1,1.017522202E3
6.709839608E1,1.017523499E3
6.817115008E1,1.017523499E3
6.924390508E1,1.017523499E3
7.031669408E1,1.017524261E3
7.138948808E1,1.017524261E3
7.246227708E1,1.017523651E3
7.353503808E1,1.017523117E3
7.460784608E1,1.017523651E3
7.568060808E1,1.017523651E3
7.675334208E1,1.017525406E3
7.782611008E1,1.017525406E3
7.889888808E1,1.017521973E3
7.997168008E1,1.017521973E3
8.104447708E1,1.017522659E3
8.211730908E1,1.017524109E3
8.319019608E1,1.017524338E3
8.426310708E1,1.017524338E3
8.533595408E1,1.017525101E3
8.640876608E1,1.017525101E3
8.748157508E1,1.017524567E3
8.855436308E1,1.017524567E3
8.962724908E1,1.017524567E3
9.070006208E1,1.017523651E3
9.177282908E1,1.017523651E3
9.284560808E1,1.017522659E3
9.391842008E1,1.017521210E3
9.499125508E1,1.017521210E3
9.606406908E1,1.017522202E3
9.713691908E1,1.017525787E3
9.820974508E1,1.017530823E3
9.928256308E1,1.017540359E3
1.003553841E2,1.017549591E3
1.014282031E2,1.017552719E3
1.025010241E2,1.017554169E3
1.035738071E2,1.017556152E3
1.046466121E2,1.017556152E3
1.057194411E2,1.017555008E3
1.067922901E2,1.017555008E3
1.078651061E2,1.017555923E3
1.089379411E2,1.017558212E3
1.100107821E2,1.017561569E3
1.110835801E2,1.017563934E3
1.121563781E2,1.017565002E3
1.132291851E2,1.017565536E3
1.143019741E2,1.017565613E3
1.153747991E2,1.017565613E3
1.164476451E2,1.017563324E3
1.175204131E2,1.017562408E3
1.185932071E2,1.017561417E3
1.196660291E2,1.017560577E3
1.207387921E2,1.017560577E3
1.218115801E2,1.017561188E3
1.228843811E2,1.017561188E3
1.239571151E2,1.017558899E3
1.250298351E2,1.017556686E3
1.261025751E2,1.017554016E3
1.271752941E2,1.017543640E3
