"Time (s)","X (hPa)"
-5.751548335E-1,1.035204926E3
4.254231667E-1,1.035200119E3
1.425995166E0,1.035195312E3
2.426577167E0,1.035191269E3
3.427150167E0,1.035188217E3
4.427723167E0,1.035186310E3
4.978672166E0,1.035183334E3
5.979256167E0,1.035182419E3
6.980152166E0,1.035179901E3
7.980405167E0,1.035178070E3
8.980976167E0,1.035175858E3
9.981550166E0,1.035175323E3
1.098213317E1,1.035175858E3
1.198270917E1,1.035177841E3
1.298328317E1,1.035181732E3
1.398386317E1,1.035184784E3
1.498444217E1,1.035188904E3
1.598501317E1,1.035191345E3
1.698558817E1,1.035193253E3
1.798616617E1,1.035193253E3
1.898674617E1,1.035192261E3
1.998731817E1,1.035190659E3
2.098789817E1,1.035188522E3
2.198847317E1,1.035188065E3
2.298905117E1,1.035187302E3
2.398974017E1,1.035187073E3
2.499020917E1,1.035187302E3
2.599077917E1,1.035187073E3
2.699136017E1,1.035187378E3
2.799193117E1,1.035188141E3
2.899250217E1,1.035188141E3
2.999308317E1,1.035188065E3
3.099366117E1,1.035186539E3
3.199424517E1,1.035185852E3
3.299481317E1,1.035185852E3
3.399539417E1,1.035186157E3
3.499596617E1,1.035190964E3
3.599654517E1,1.035194702E3
3.699712217E1,1.035199966E3
3.799770117E1,1.035204010E3
3.899827717E1,1.035204010E3
3.999885217E1,1.035199585E3
4.099943117E1,1.035197678E3
4.199999317E1,1.035197372E3
4.300057217E1,1.035196686E3
4.400114917E1,1.035189819E3
4.500172317E1,1.035188293E3
4.600230217E1,1.035188293E3
4.700287717E1,1.035188293E3
4.800345017E1,1.035186539E3
4.900403217E1,1.035186310E3
5.000460517E1,1.035186310E3
5.100518317E1,1.035178680E3
5.200575717E1,1.035172272E3
5.300634417E1,1.035168839E3
5.400690817E1,1.035167847E3
5.500748317E1,1.035167847E3
5.600805917E1,1.035171661E3
5.700863617E1,1.035175247E3
5.800921117E1,1.035180130E3
5.900978817E1,1.035180130E3
6.001036517E1,1.035178986E3
6.101094317E1,1.035176849E3
6.201151717E1,1.035175018E3
6.301209317E1,1.035171814E3
6.401267217E1,1.035171814E3
6.501324717E1,1.035175018E3
6.601382117E1,1.035177155E3
6.701439717E1,1.035178070E3
6.801497717E1,1.035178070E3
6.901554517E1,1.035172195E3
7.001612317E1,1.035169983E3
7.101670117E1,1.035167465E3
7.201728017E1,1.035167465E3
7.301786017E1,1.035168152E3
7.401843517E1,1.035169525E3
7.501900817E1,1.035169525E3
7.601958117E1,1.035168533E3
7.702016517E1,1.035167770E3
7.802074517E1,1.035164337E3
7.902146417E1,1.035160370E3
8.002188817E1,1.035153885E3
8.102247217E1,1.035153275E3
8.202304917E1,1.035152206E3
8.302361617E1,1.035152206E3
8.402420117E1,1.035153122E3
8.502477317E1,1.035162201E3
8.602578917E1,1.035162201E3
8.702592217E1,1.035161896E3
8.802650017E1,1.035160446E3
8.902708017E1,1.035157547E3
9.002765217E1,1.035154724E3
9.102821917E1,1.035154724E3
9.202880517E1,1.035155563E3
9.302937817E1,1.035156937E3
9.402995717E1,1.035160141E3
9.503053217E1,1.035163498E3
9.603110617E1,1.035164566E3
9.703168517E1,1.035171051E3
9.803225517E1,1.035184631E3
9.903282717E1,1.035194626E3
1.000334062E2,1.035202713E3
1.010339832E2,1.035209885E3
1.020345562E2,1.035209885E3
1.030351322E2,1.035205688E3
1.040357122E2,1.035199966E3
1.050362892E2,1.035191803E3
1.060368622E2,1.035187836E3
1.070374402E2,1.035185318E3
1.080380162E2,1.035183029E3
1.090385892E2,1.035178986E3
1.100391652E2,1.035177155E3
1.110397422E2,1.035170670E3
1.120403162E2,1.035164337E3
1.130408902E2,1.035164337E3
1.140414722E2,1.035166550E3
1.150420452E2,1.035166550E3
1.160426222E2,1.035168686E3
1.170435302E2,1.035168839E3
1.180437772E2,1.035168839E3
1.190443512E2,1.035164642E3
1.200449282E2,1.035158997E3
1.210455002E2,1.035156326E3
1.220460772E2,1.035156326E3
1.230466572E2,1.035156326E3
1.240472302E2,1.035156784E3
1.250478072E2,1.035157776E3
1.260483882E2,1.035159302E3
1.270489632E2,1.035159302E3
1.280495392E2,1.035158768E3
1.290505232E2,1.035156555E3
1.300506842E2,1.035152893E3
1.310512672E2,1.035148010E3
1.320518382E2,1.035143509E3
1.330524142E2,1.035143509E3
1.340529922E2,1.035143585E3
1.350535742E2,1.035147705E3
1.360541412E2,1.035152817E3
1.370547192E2,1.035159073E3
1.380552952E2,1.035159073E3
1.390558722E2,1.035158844E3
1.400564522E2,1.035155258E3
1.410570642E2,1.035153809E3
1.420575932E2,1.035153809E3
1.430581692E2,1.035156708E3
1.440587482E2,1.035165176E3
