"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.544779167E-2,9.894166887E-2,1.145476475E-1,-6.110502481E-1
3.548779245E-2,1.992435940E-2,-3.272632509E-2,-5.741354823E-1
5.552779231E-2,-1.411453187E-1,-2.028920949E-1,-5.440695286E-1
7.556779217E-2,-1.822187901E-1,-2.659872472E-1,-5.316487551E-1
9.560779203E-2,-9.087476134E-2,-1.930086613E-1,-4.597804248E-1
1.156477919E-1,-6.943746656E-2,-1.807691753E-1,-4.269193411E-1
1.356877917E-1,-1.362156868E-1,-2.751210630E-1,-3.049155176E-1
1.557277925E-1,-2.429000139E-1,-2.425923795E-1,1.689393073E-2
1.757677924E-1,-1.104930788E-1,5.287758261E-2,8.259348571E-2
1.958077922E-1,1.592576653E-1,1.435825378E-1,-1.070259139E-1
2.158487923E-1,2.213228941E-1,-4.229694232E-2,-3.226968646E-1
2.358887922E-1,-2.485387772E-2,-1.593659371E-1,-2.760123610E-1
2.559287921E-1,-3.230868876E-1,-5.373810884E-3,-3.533672169E-2
2.759687919E-1,-4.404066503E-1,1.531729847E-1,5.237979442E-2
2.960087918E-1,-4.927376509E-1,2.310839295E-1,-8.592156321E-2
3.160487926E-1,-6.847942472E-1,1.849163622E-1,-1.662865430E-1
3.360887924E-1,-9.833089709E-1,5.652867258E-2,3.305326775E-2
3.561287923E-1,-1.154937267E0,-1.573398337E-2,3.188312948E-1
3.761687921E-1,-8.641151786E-1,-2.754500806E-1,3.973529637E-1
3.962087920E-1,-2.058058530E-1,-4.960907400E-1,3.009271324E-1
4.162487919E-1,3.709886074E-1,-3.421580195E-1,3.774355650E-1
4.362897919E-1,5.281900764E-1,6.029512733E-2,6.685059071E-1
4.563297918E-1,3.041578531E-1,3.726728261E-1,8.628342748E-1
4.763697917E-1,-7.316724956E-2,3.165616989E-1,8.772499561E-1
4.964097925E-1,-5.106602907E-1,7.362893969E-2,8.436467648E-1
5.164497923E-1,-8.358699679E-1,-1.064638719E-1,8.025788069E-1
5.364897922E-1,-8.283715248E-1,-1.198046952E-1,7.415900230E-1
5.565297920E-1,-5.642150640E-1,-1.278741807E-1,6.261987686E-1
5.765697919E-1,-1.898899078E-1,-2.603603601E-1,5.280382633E-1
5.966097917E-1,1.145944651E-2,-2.904967070E-1,5.040626526E-1
6.166497925E-1,6.991239637E-2,-2.972587049E-1,5.079668164E-1
6.366897924E-1,5.464184284E-2,-2.423079610E-1,4.876391292E-1
6.567307925E-1,-4.008393362E-2,-1.054810882E-1,4.630941749E-1
6.767707923E-1,-1.731742024E-1,7.029840350E-2,4.018487036E-1
6.968107922E-1,-2.188009918E-1,1.872608215E-1,2.882463336E-1
7.168507921E-1,-9.696145356E-2,1.811716706E-1,9.947056323E-2
7.368907919E-1,2.188212126E-1,5.401069298E-3,-2.633562498E-2
7.569307918E-1,4.929674566E-1,-1.072118804E-1,6.215873361E-2
7.769707926E-1,4.980347753E-1,6.698075682E-2,1.794054359E-1
7.970107924E-1,3.380152583E-1,1.365193129E-1,2.814439535E-1
8.170507923E-1,1.464720219E-1,1.329480112E-1,2.630752027E-1
8.370907921E-1,-5.024315324E-3,2.568996325E-2,7.812253386E-2
8.571317922E-1,-1.555903554E-1,-1.009593979E-1,-5.711567402E-2
8.771717921E-1,-1.552683115E-1,-6.174331531E-2,-8.791484684E-2
8.972117919E-1,-4.586350173E-2,2.088766098E-1,2.285593748E-2
9.172516251E-1,3.315429091E-1,1.895090491E-1,-1.514832489E-2
9.372916259E-1,9.028427005E-1,-1.765952110E-1,-1.468233615E-1
9.573316257E-1,9.762955904E-1,-2.620338202E-1,-1.389966607E-1
9.773716256E-1,6.192570329E-1,-1.216766760E-1,-1.479643863E-2
9.974116255E-1,2.746312320E-1,6.711720675E-2,2.029949799E-2
1.017451625E0,-1.377103385E-2,2.157578915E-1,-1.030808017E-1
1.037491625E0,-3.102656305E-1,1.976559907E-1,-2.287281305E-1
1.057532625E0,-4.698089063E-1,3.228081390E-2,-3.350155354E-1
1.077572625E0,-3.952787519E-1,-2.840117365E-2,-4.721640646E-1
1.097612625E0,-1.687456965E-1,9.727507085E-2,-6.264408827E-1
1.117652626E0,5.603364483E-2,2.759948969E-1,-7.421833277E-1
1.137692626E0,1.216601655E-1,3.301797509E-1,-7.324853539E-1
1.157732625E0,8.087269217E-2,2.952989936E-1,-6.367164850E-1
1.177772625E0,1.015496179E-1,2.054002136E-1,-5.233458281E-1
1.197812625E0,1.667103767E-1,1.627900898E-1,-4.213859737E-1
1.217852625E0,1.771732867E-1,1.004256159E-1,-3.335269988E-1
1.237893625E0,1.803016961E-1,9.026561864E-3,-2.662429512E-1
1.257933625E0,2.004638165E-1,-1.073910668E-1,-2.111371160E-1
1.277973626E0,2.621133029E-1,-2.127812952E-1,-1.656854004E-1
1.298013626E0,3.085648119E-1,-1.846665442E-1,-6.878378242E-2
1.318053626E0,2.878539860E-1,-2.113441750E-2,5.089232698E-2
1.338093625E0,1.324115843E-1,1.111133993E-1,7.471428812E-2
1.358133625E0,-8.406902850E-2,8.972960524E-3,-3.315867484E-2
1.378173625E0,-2.234828919E-1,-2.254655808E-1,-1.196130291E-1
1.398213626E0,-3.430702388E-1,-2.707825303E-1,-1.137525886E-1
1.418253626E0,-5.096400380E-1,-8.140780032E-2,-9.139348567E-2
1.438294626E0,-7.170859575E-1,9.547018260E-2,3.243729472E-2
1.458334626E0,-8.423944712E-1,-2.272975072E-2,6.311108172E-2
1.478374626E0,-4.060850441E-1,-3.883240521E-1,-1.781226397E-1
1.498414625E0,2.443159223E-1,-3.855739832E-1,-2.732875347E-1
1.518454625E0,4.883059561E-1,-1.477157697E-2,-9.341639280E-2
1.538494625E0,3.001812398E-1,1.849180162E-1,1.171459556E-1
1.558534625E0,-2.207070589E-1,1.037879661E-1,2.302071601E-1
1.578574626E0,-6.442728639E-1,-1.866055727E-1,1.398407817E-1
1.598614626E0,-7.937076688E-1,-2.521013319E-1,3.121023439E-2
1.618655626E0,-6.192619205E-1,-5.187872052E-2,7.562082261E-2
1.638695626E0,-2.778497934E-1,2.199931443E-1,1.759373695E-1
1.658735625E0,-1.434036531E-2,2.462562174E-1,1.837649196E-1
1.678775625E0,6.450267881E-2,5.912904441E-2,1.468601078E-1
1.698815625E0,-1.339366939E-2,-1.468038112E-1,1.653492153E-1
1.718855625E0,-1.106782183E-1,-2.284528315E-1,2.217307091E-1
1.738895626E0,-9.427949786E-2,-1.350478679E-1,2.116240561E-1
1.758935626E0,-4.058670253E-2,-2.817734331E-2,1.195718944E-1
1.778975626E0,-3.297237307E-2,-3.174158186E-2,4.931203648E-2
1.799016626E0,-2.562737279E-2,-3.220457118E-3,-1.350660436E-2
1.819056625E0,2.319643833E-2,9.047818184E-2,-6.577718258E-2
1.839096625E0,1.558821797E-1,1.433473378E-1,-1.136804521E-1
1.859136625E0,2.967021167E-1,1.611815691E-1,-5.750097707E-2
1.879176625E0,3.972505927E-1,1.627230495E-1,1.282576770E-1
1.899216626E0,3.583225310E-1,-5.105780438E-4,3.209505677E-1
1.919256917E0,1.468092948E-1,-2.336279601E-1,2.919452488E-1
1.939296917E0,1.902503427E-3,-3.707205951E-1,9.491636604E-2
1.959337917E0,7.903629914E-3,-3.113038242E-1,-4.499630257E-2
1.979377917E0,8.275669813E-2,-1.346035451E-1,-3.184005618E-2
1.999417917E0,5.374166369E-2,1.603963077E-1,1.070771441E-1
2.019457917E0,-1.320590526E-1,3.530431688E-1,2.227177471E-1
2.039497918E0,2.009413987E-1,-4.000525549E-2,8.361097425E-2
2.059537917E0,9.069811106E-1,-5.244228840E-1,-2.718581073E-2
2.079577917E0,1.045202374E0,-3.233213425E-1,1.710642427E-1
2.099617917E0,6.802127957E-1,9.853950888E-2,4.016973674E-1
2.119657917E0,2.646028996E-1,2.936079502E-1,4.049082696E-1
2.139698917E0,-1.265798211E-1,2.461630106E-1,2.196585834E-1
2.159738917E0,-5.947406292E-1,1.576722860E-1,4.613089189E-2
2.179778917E0,-9.306980371E-1,2.146045864E-1,-7.442203164E-2
2.199818918E0,-8.166574836E-1,2.123055607E-1,-1.974936724E-1
2.219858917E0,-2.207214534E-1,1.303271502E-1,-3.288634717E-1
2.239898917E0,3.410843015E-1,1.633095294E-1,-3.904600739E-1
2.259938917E0,4.420278966E-1,2.535342276E-1,-3.440250754E-1
2.279978917E0,1.557831764E-1,3.396747112E-1,-2.572209239E-1
2.300019917E0,-8.408415318E-2,2.542906404E-1,-2.256563753E-1
2.320059917E0,-8.012190461E-2,9.206898510E-2,-2.361247391E-1
2.340099917E0,4.207885265E-2,8.895562589E-2,-1.865099818E-1
2.360139917E0,2.025118619E-1,1.452253461E-1,-8.993806690E-2
2.380179917E0,3.172572553E-1,9.656572342E-2,-1.840371452E-2
2.400219917E0,4.250746667E-1,-4.096702114E-2,6.080404390E-3
2.420259917E0,4.804008603E-1,-1.813472807E-1,-4.254519567E-2
2.440299917E0,3.918224275E-1,-1.920361966E-1,-9.182736278E-2
2.460340917E0,2.503952086E-1,-1.051567495E-1,-1.342787743E-1
2.480380917E0,1.203545555E-1,-6.043387204E-2,-1.449192613E-1
2.500420917E0,-6.400087476E-2,-5.748546124E-2,-1.517496770E-3
2.520460917E0,-3.420798779E-1,3.356792033E-2,1.137357727E-1
2.540500917E0,-4.898468852E-1,-8.162966371E-2,2.194174752E-2
2.560540917E0,-3.177236915E-1,-2.547658980E-1,-2.271039486E-1
2.580580917E0,1.009910852E-1,-1.944032609E-1,-3.966050744E-1
2.600621917E0,4.393278956E-1,1.730014235E-1,-2.408008575E-1
2.620661917E0,3.608191609E-1,6.814100742E-1,1.487721801E-1
2.640701917E0,1.180922389E-1,7.957451344E-1,3.035559356E-1
2.660741917E0,-6.194177270E-2,4.309636354E-1,2.041987479E-1
2.680781917E0,-2.162353098E-1,-4.928968847E-2,8.483262360E-2
2.700821918E0,-2.761526406E-1,-2.332116216E-1,8.849821240E-2
2.720861917E0,-2.327328771E-1,-1.832617521E-1,8.843728900E-2
2.740901917E0,-1.828996688E-1,-6.500331312E-2,9.292619675E-2
2.760942917E0,-1.417937726E-1,3.384044021E-2,1.536574513E-1
