"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.192498207E-2,3.211565476E1,1.189507073E2,1.622393513E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.098596096E-2,3.211565052E1,1.189507118E2,1.618610573E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.098596096E-2,3.211564646E1,1.189507200E2,1.616015148E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.089633107E0,3.211608416E1,1.189509516E2,1.611862610E1,1.095134318E-1,2.545269660E2,1.395529822E2,1.395529822E2
2.089643836E0,3.211569644E1,1.189506131E2,1.624218612E1,9.241793752E-1,2.531925275E2,5.618473983E1,5.618473983E1
3.039644122E0,3.211564723E1,1.189506036E2,1.617798378E1,9.241793752E-1,2.546203685E2,3.098862305E1,3.098862305E1
3.989649653E0,3.211560462E1,1.189505962E2,1.609680623E1,1.024334073E0,2.673561924E2,1.779613231E1,1.779613231E1
4.939654112E0,3.211559639E1,1.189505782E2,1.602141411E1,1.080765247E0,2.629423799E2,1.479122676E1,1.479122676E1
5.889660120E0,3.211560981E1,1.189505596E2,1.595696571E1,1.004774690E0,2.465632652E2,1.231671381E1,1.231671381E1
6.839478016E0,3.211560074E1,1.189505435E2,1.591347891E1,1.220439196E0,2.460946972E2,1.161889520E1,1.161889520E1
7.789483428E0,3.211560500E1,1.189505401E2,1.587645606E1,1.004774690E0,2.374061965E2,1.083736400E1,1.083736400E1
8.739421964E0,3.211561099E1,1.189505212E2,1.582708930E1,1.220439196E0,2.473484428E2,9.688351414E0,9.688351414E0
9.689426541E0,3.211559391E1,1.189505197E2,1.583997383E1,1.050126433E0,2.382644217E2,8.735769327E0,8.735769327E0
1.064010906E1,3.211558145E1,1.189505113E2,1.581684292E1,1.156677842E0,2.419488014E2,8.846446739E0,8.846446739E0
1.159011340E1,3.211557238E1,1.189505047E2,1.580643252E1,1.293251276E0,2.455620857E2,8.052072427E0,8.052072427E0
1.253889251E1,3.211556441E1,1.189504958E2,1.580654798E1,1.156677842E0,2.376519991E2,1.471449607E1,1.471449607E1
1.348890233E1,3.211555910E1,1.189504859E2,1.580654809E1,1.156677842E0,2.376519939E2,1.471449607E1,1.471449607E1
1.443889093E1,3.211555619E1,1.189504752E2,1.582500398E1,1.205003977E0,2.310943348E2,7.426997095E0,7.426997095E0
1.540689671E1,3.211554962E1,1.189504655E2,1.584086759E1,1.139184713E0,2.312778224E2,9.706041891E0,9.706041891E0
1.640721595E1,3.211553601E1,1.189504609E2,1.583509247E1,1.056368947E0,2.294239711E2,7.049917857E0,7.049917857E0
1.740722001E1,3.211553376E1,1.189504567E2,1.582789945E1,1.056368947E0,2.457671608E2,6.732759607E0,6.732759607E0
1.840721667E1,3.211553394E1,1.189504494E2,1.583153737E1,1.012801647E0,2.517553214E2,1.082419043E1,1.082419043E1
