"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.138354119E-2,-2.522425244E-1,2.173740426E-1,-7.681019425E-2
6.142354105E-2,-2.140609371E-1,2.200098212E-1,-2.176766360E-1
8.146354090E-2,-5.861482859E-2,3.731888911E-1,-3.529256576E-1
1.015035417E-1,-1.356305525E-2,3.669630682E-1,-3.107695717E-1
1.215425413E-1,-3.096846208E-2,3.396013150E-1,-2.473348832E-1
1.415825412E-1,-8.010634281E-2,3.761038743E-1,-1.491589630E-1
1.616225410E-1,-1.144031862E-1,3.130539326E-1,-8.100147843E-3
1.816625409E-1,-1.543413502E-1,3.696375847E-1,-4.783957958E-2
2.017025417E-1,-2.534784065E-1,4.408281662E-1,-1.331732601E-1
2.217425415E-1,-1.620643526E-1,5.670673594E-1,-2.264620775E-1
2.417815411E-1,-2.387747057E-1,5.253669177E-1,-1.445671445E-1
2.618215410E-1,-2.557305347E-1,5.000566600E-1,-8.495828927E-2
2.818615409E-1,-2.115250728E-1,4.265393253E-1,-8.789417624E-2
3.019015417E-1,-2.423149024E-1,3.421322823E-1,-1.941930485E-1
3.219415415E-1,-2.529818317E-1,4.130364963E-1,-3.642756879E-1
3.419815414E-1,-2.869616830E-1,4.935151606E-1,-3.284234852E-1
3.620205410E-1,-3.091444843E-1,6.549059140E-1,-1.118964118E-1
3.820605408E-1,-3.404938193E-1,1.049356158E0,-7.949698985E-2
4.021005416E-1,-2.412824303E-1,1.414309904E0,-2.762546271E-1
4.221405415E-1,-3.022928631E-1,1.438011300E0,-3.670180321E-2
4.421805413E-1,-6.863754094E-2,1.739027862E0,-1.032898951E-1
4.622205412E-1,4.501290397E-1,1.944644324E0,-1.293784171E-1
4.822595408E-1,6.899167755E-1,1.778690842E0,-1.906531441E-1
5.022995416E-1,8.181384672E-1,1.566673141E0,-1.460786498E-1
5.223395415E-1,8.825844316E-1,1.498539045E0,-1.821863759E-1
5.423795413E-1,1.008887213E0,1.751195041E0,-6.142616987E-2
5.624195412E-1,1.212812441E0,1.839465047E0,1.719964331E-1
5.824595410E-1,1.311235771E0,1.652422266E0,1.965179014E-1
6.024985416E-1,1.145962832E0,1.143084833E0,2.339570385E-1
6.225385414E-1,8.017682368E-1,7.920407358E-1,5.559316295E-1
6.425785413E-1,4.342190583E-1,7.873826976E-1,1.020919760E0
6.626185412E-1,1.213407614E-1,8.096743302E-1,1.254263425E0
6.826585410E-1,4.877150150E-1,9.396111564E-1,6.397304159E-1
7.026985409E-1,7.614386018E-1,1.024984013E0,-1.015778303E-2
7.227370413E-1,9.121415220E-1,1.127104904E0,-4.434937656E-1
7.427770412E-1,7.941119657E-1,1.145932938E0,-5.230006957E-1
7.628170410E-1,6.708468126E-1,1.140475074E0,-4.095255357E-1
7.828570409E-1,6.446985027E-1,9.457704672E-1,-1.890948611E-1
8.028970417E-1,5.989233923E-1,7.809361424E-1,-2.997867465E-2
8.229360413E-1,4.715096761E-1,4.828715470E-1,3.175880098E-1
8.429760411E-1,4.088009926E-1,3.218481450E-1,4.591438383E-1
8.630160410E-1,5.368420419E-1,3.655615637E-1,6.933230710E-1
8.830560409E-1,6.694219192E-1,2.043229841E-1,6.387188476E-1
9.030960416E-1,8.087966631E-1,2.101617213E-1,4.707119697E-1
9.231360415E-1,1.079527206E0,3.378790176E-1,4.651635468E-1
9.431750411E-1,1.216543037E0,4.216520032E-1,6.963185996E-1
9.632150410E-1,9.124425805E-1,3.238867036E-1,4.084122258E-1
9.832550408E-1,3.176270400E-1,-2.301011652E-1,1.755451083E-1
1.003295042E0,-2.657533202E-1,-9.983101849E-1,8.420820844E-1
1.023335041E0,-7.508753143E-1,-1.407803122E0,1.638785098E0
1.043375041E0,-1.316033850E0,-1.493381217E0,1.150883483E0
1.063414041E0,-1.229439071E0,-1.810302644E0,-7.708197284E-1
1.083454041E0,-8.294564840E-1,-1.170908589E0,-2.238169726E0
1.103494042E0,-3.544850735E-1,-4.963133457E-1,-1.975980576E0
1.123534041E0,-7.011220142E-1,-4.851775427E-1,-1.358495892E0
1.143574041E0,-1.145057025E0,-8.277951439E-1,-7.414672905E-1
1.163614041E0,-1.197034241E0,-7.115406561E-1,-6.191751140E-1
1.183653041E0,-9.310802150E-1,-2.696319245E-1,-6.038787979E-1
1.203693042E0,-5.866142724E-1,8.247198008E-2,-1.159521575E0
1.223733041E0,-5.307065950E-1,3.977652501E-1,-1.377022210E0
1.243773041E0,-2.192203740E-1,1.067713784E0,-7.902231288E-1
1.263813041E0,-7.553107928E-1,1.095232974E0,1.318237227E-1
1.283852042E0,-1.184378893E0,5.509885762E-1,1.291509604E-1
1.303892042E0,-9.098631544E-1,6.893935228E-1,-3.395641851E-1
1.323932041E0,-3.885825269E-1,1.039188581E0,-7.310943300E-1
1.343972041E0,-1.134117360E-1,9.035901884E-1,-8.523240674E-1
1.364012041E0,-6.307165676E-1,6.125845711E-1,-1.950748086E-1
1.384052041E0,-1.412467008E0,7.479272944E-1,-6.379370749E-2
1.404091042E0,-5.762675512E-1,1.453153835E0,-2.263346082E-1
1.424131041E0,2.956557617E-1,1.703529709E0,-3.173430115E-1
1.444171041E0,1.834081150E-1,1.625907482E0,1.005686009E-1
1.464211041E0,-4.217520636E-1,1.183802723E0,1.109312704E0
1.484251041E0,-5.017411698E-1,8.139939608E-1,2.153713712E0
1.504291041E0,-4.571255622E-1,4.917672086E-1,2.495493992E0
1.524330041E0,-4.952445477E-2,7.424643139E-1,2.158482116E0
1.544370041E0,6.912299140E-1,1.035152467E0,2.110281764E0
1.564410041E0,1.567489559E0,1.009187760E0,2.218881515E0
1.584450041E0,2.200181827E0,4.812072102E-1,1.840122274E0
1.604490041E0,1.706485915E0,-5.698592952E-1,1.145453759E0
1.624529041E0,1.328284352E0,-7.558185504E-1,9.443908167E-1
1.644569041E0,4.829062283E-1,-1.287579106E0,4.558752447E-1
1.664609041E0,8.774803240E-2,-1.328659012E0,5.855518699E-2
