"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.843449997E-2,3.425476685E0,6.301296387E0,7.884553986E0
3.837149998E-2,3.515738983E0,6.424789581E0,9.440717926E0
5.830749997E-2,2.494412842E0,6.909481659E0,9.031319275E0
7.824449998E-2,2.961441650E0,6.345753937E0,8.600215759E0
9.818049998E-2,2.951113129E0,6.929989014E0,8.815019073E0
1.181175000E-1,3.010389862E0,6.874903564E0,8.932973785E0
1.380545000E-1,2.959795074E0,6.586603088E0,8.817264404E0
1.579905000E-1,3.014132080E0,5.900579681E0,8.743467865E0
1.779275000E-1,2.517015839E0,5.237308960E0,8.199049988E0
1.978635000E-1,2.013462982E0,4.845274200E0,7.645201721E0
2.178005000E-1,1.846260681E0,4.469705200E0,7.165299683E0
2.377365000E-1,1.766177216E0,4.083059235E0,7.136110382E0
2.576735000E-1,1.794318695E0,3.836521912E0,7.665858765E0
2.776105000E-1,1.601070557E0,3.783831482E0,7.879015503E0
2.975465000E-1,1.218166809E0,3.833827515E0,7.496111755E0
3.174835000E-1,9.024732971E-1,4.207899628E0,6.959178314E0
3.374195000E-1,9.229806519E-1,4.631219330E0,6.933581543E0
3.573565000E-1,1.053060150E0,5.202730865E0,7.207212524E0
3.772932084E-1,1.217717743E0,5.470374298E0,7.292385406E0
3.972292084E-1,8.839118958E-1,5.666316833E0,6.941365356E0
4.171662084E-1,8.707392883E-1,5.570665741E0,7.663164368E0
4.371022084E-1,9.846524048E-1,5.408552856E0,8.887618103E0
4.570392084E-1,9.147477722E-1,5.310506744E0,9.183103638E0
4.769752084E-1,9.544152832E-1,5.609584808E0,8.386310577E0
4.969122084E-1,1.210233307E0,5.908064117E0,7.967631226E0
5.168492084E-1,1.166524200E0,6.016738129E0,8.350085907E0
5.367852084E-1,7.517367554E-1,5.787864075E0,9.278754730E0
5.567222084E-1,-1.559756470E-1,6.412215729E0,9.740245056E0
5.766582084E-1,3.667373657E-2,6.551725616E0,8.817264404E0
5.965952084E-1,7.551795959E-1,6.635850677E0,8.787626038E0
6.165322084E-1,1.880389709E0,6.190975800E0,1.036250107E1
6.364682084E-1,1.350192261E0,5.791007538E0,1.089644073E1
6.564052083E-1,4.917274475E-1,5.668262787E0,9.259145508E0
6.763412084E-1,2.917433167E-1,5.218747559E0,7.220385132E0
6.962782083E-1,3.400927734E-1,4.709057465E0,6.576723633E0
7.162152083E-1,3.784130859E-1,4.295018463E0,7.084467773E0
7.361512083E-1,6.957531738E-1,4.265380096E0,8.008346558E0
7.560882083E-1,1.005459137E0,4.069287872E0,8.389004974E0
7.760242083E-1,1.012195129E0,4.119882660E0,7.940387878E0
7.959612083E-1,7.514373779E-1,4.517006836E0,6.829996948E0
8.158982083E-1,7.203021240E-1,4.894521790E0,6.324049072E0
8.358342083E-1,9.336085510E-1,4.879103851E0,6.545139313E0
8.557712083E-1,5.409750366E-1,4.922663269E0,6.521937561E0
8.757072083E-1,3.772155762E-2,5.004842377E0,6.394103394E0
8.956442083E-1,-5.138813782E-1,5.313500519E0,6.352340240E0
9.155802083E-1,-3.972738647E-1,5.428760834E0,7.353308716E0
9.355172083E-1,-1.549278259E-1,5.307213593E0,7.989036713E0
9.554542083E-1,-3.221301270E-1,5.745053101E0,7.792495422E0
9.753902083E-1,-4.161346436E-1,6.371051331E0,7.454647980E0
9.953272083E-1,-4.596940613E-1,7.113956451E0,8.073311462E0
1.015263208E0,-4.685256958E-1,7.087611237E0,8.807684326E0
1.035200208E0,-9.789642334E-1,7.064858551E0,9.094338226E0
1.055137208E0,-2.108365631E0,8.089627533E0,9.603279877E0
1.075073208E0,-1.903741150E0,8.372389526E0,8.862919464E0
1.095010208E0,-6.078858948E-1,7.619455261E0,8.198600922E0
1.114946208E0,2.180964661E-1,7.041357422E0,9.098080444E0
1.134883208E0,-6.840774536E-2,6.366860046E0,9.989476776E0
1.154820208E0,-1.082698517E0,5.723198547E0,9.160350952E0
1.174756208E0,-1.536405029E0,5.493875427E0,7.512577515E0
1.194693208E0,-1.626367950E0,5.272036743E0,6.367907867E0
1.214629208E0,-1.369951172E0,5.282215576E0,6.185287628E0
1.234566208E0,-9.376501465E-1,4.740192719E0,6.312822418E0
1.254503208E0,-4.779560852E-1,4.199067993E0,6.722819824E0
1.274439208E0,1.721420288E-2,4.157604218E0,8.187673645E0
1.294376208E0,1.573228455E-1,4.112098846E0,9.282796326E0
1.314312208E0,8.532257080E-2,4.254003754E0,9.028475189E0
1.334249208E0,1.851649475E-1,4.627177734E0,7.889344025E0
1.354186208E0,2.938389587E-1,4.957690430E0,6.963519287E0
1.374121500E0,-3.697311401E-2,5.218298492E0,6.947652283E0
1.394058500E0,-5.465135193E-1,5.363197174E0,6.988966370E0
1.413994500E0,-7.246430969E-1,5.694158936E0,7.018754425E0
1.433931500E0,-3.089575195E-1,5.960305481E0,7.208410034E0
1.453867500E0,1.422042847E-2,6.261030121E0,7.378456421E0
1.473804500E0,3.894900513E-1,6.550677795E0,7.770042114E0
1.493741500E0,5.493576050E-1,6.577172699E0,8.007747803E0
1.513677500E0,7.390132141E-1,6.147715759E0,8.336314545E0
1.533614500E0,6.508465576E-1,5.934409332E0,8.978778534E0
1.553550500E0,9.131011963E-3,6.461313629E0,9.229058075E0
1.573487500E0,-1.901046753E-2,7.261399841E0,8.476722565E0
1.593424500E0,1.062041473E0,7.288942566E0,7.794890442E0
1.613360500E0,1.813628540E0,7.042704620E0,8.336314545E0
1.633297500E0,1.974843292E0,6.357429657E0,8.844956818E0
1.653233500E0,1.603914642E0,5.917644196E0,8.872499542E0
1.673170500E0,1.496438141E0,5.398523712E0,8.397537231E0
1.693107500E0,1.581311646E0,4.897515564E0,7.908204803E0
1.713043500E0,1.188528442E0,4.891977081E0,7.611521759E0
1.732980500E0,1.123264160E0,4.682712250E0,7.268435211E0
1.752916500E0,1.228046265E0,4.540657654E0,7.324867859E0
1.772853500E0,1.330283661E0,4.727169800E0,7.763455811E0
1.792790500E0,1.253343658E0,4.975204010E0,7.675887909E0
1.812726500E0,9.750723267E-1,5.260510712E0,7.276817780E0
1.832663500E0,7.860154724E-1,5.484744415E0,6.923702087E0
1.852599500E0,3.336561584E-1,5.763015747E0,6.646628265E0
1.872536500E0,3.832031250E-2,6.004613342E0,6.430028687E0
1.892473500E0,2.157014465E-1,6.242618408E0,6.482868805E0
1.912409500E0,4.255650330E-1,6.368207245E0,6.513105927E0
1.932346500E0,4.740641785E-1,6.603218536E0,6.794071655E0
1.952282500E0,7.479945374E-1,6.589447174E0,7.356751556E0
1.972219500E0,5.222639465E-1,6.565796356E0,7.662116547E0
1.992156500E0,3.511697388E-1,6.724316711E0,7.893684998E0
2.012092500E0,3.282673645E-1,6.857090607E0,7.972570953E0
2.032029500E0,3.667373657E-1,7.108867035E0,7.769593048E0
2.051965500E0,2.559677124E-2,7.728578339E0,7.945327606E0
2.071902500E0,-6.087840271E-1,8.722361755E0,8.207282867E0
2.091839500E0,-3.236270142E-1,9.033115540E0,7.792495422E0
2.111775500E0,5.239105225E-1,8.236621857E0,7.493117981E0
2.131712500E0,4.977149963E-1,6.973698120E0,8.030350800E0
2.151648500E0,-8.045768738E-1,6.356681213E0,9.037306824E0
2.171585500E0,-1.548380127E0,5.854625244E0,8.763526154E0
2.191522500E0,-1.339564362E0,5.606591034E0,7.319329376E0
2.211458500E0,-1.043480072E0,5.635331268E0,6.247258759E0
2.231395500E0,-6.346801758E-1,5.649701385E0,6.120023346E0
2.251331500E0,-3.040177917E-1,5.234913940E0,6.330934753E0
2.271268500E0,-1.661544800E-1,4.915927277E0,6.846313019E0
2.291205500E0,3.023712158E-2,5.015320587E0,7.386838989E0
2.311141500E0,1.534309387E-1,5.233716431E0,7.414232025E0
2.331078500E0,2.222877502E-1,5.320835266E0,7.027136993E0
2.351014500E0,2.261796570E-1,5.424270172E0,6.442452850E0
2.370952750E0,2.330653381E-1,5.723647614E0,6.236780548E0
2.390889750E0,5.234614563E-1,5.736520844E0,6.385122070E0
2.410825750E0,4.457730103E-1,5.681585083E0,6.734794922E0
2.430762750E0,3.047662354E-1,5.816753998E0,7.056176605E0
2.450699750E0,5.062472534E-1,5.987848206E0,7.379204865E0
2.470635750E0,7.090754700E-1,6.308032379E0,7.508984985E0
2.490572750E0,8.988807678E-1,6.648873596E0,7.513475647E0
2.510508750E0,1.124012604E0,6.571035461E0,7.899522858E0
2.530445750E0,1.273701324E0,6.186185760E0,7.881859589E0
2.550382750E0,1.261875916E0,6.017785950E0,8.279283142E0
2.570318750E0,7.276368713E-1,6.552773438E0,9.025331726E0
2.590255750E0,4.740641785E-1,7.721992035E0,8.741222534E0
2.610192750E0,1.408121796E0,8.251291351E0,7.509134674E0
2.630128750E0,2.085912323E0,8.432564392E0,6.928791504E0
2.650065750E0,2.020797729E0,7.578739929E0,7.705825653E0
2.670001750E0,9.389973450E-1,6.736890564E0,8.357420654E0
2.689938750E0,3.394940186E-1,6.350543976E0,7.698640594E0
2.709875750E0,2.820135498E-1,6.234984283E0,6.857539673E0
2.729811750E0,2.432441711E-1,6.187682648E0,6.636150055E0
2.749748750E0,6.167175293E-1,5.734874268E0,6.777007141E0
2.769685750E0,1.109043732E0,5.325475616E0,6.943311310E0
2.789621750E0,1.604064331E0,5.187312927E0,7.740852814E0
2.809558750E0,1.620679779E0,5.142106934E0,8.238717499E0
2.829494750E0,1.335373077E0,5.162165222E0,7.596253510E0
2.849431750E0,8.027806091E-1,5.364544373E0,6.519542542E0
2.869368750E0,4.556524658E-1,5.607638855E0,5.812113647E0
2.889304750E0,2.580633545E-1,5.971532135E0,5.481151886E0
2.909241750E0,3.269201660E-1,6.321204987E0,5.471571808E0
2.929178750E0,5.170248413E-1,6.555018768E0,5.860612793E0
2.949114750E0,4.522096252E-1,6.728358307E0,6.347250824E0
2.969051750E0,1.544787598E-1,6.816225586E0,6.452332306E0
2.988987750E0,-1.143621826E-1,6.843618622E0,6.216722260E0
3.008924750E0,-3.980223083E-1,7.079827423E0,6.234385529E0
3.028861750E0,-4.564009094E-1,7.359296265E0,6.212830353E0
3.048797750E0,-4.719685364E-1,7.371570740E0,5.716612244E0
3.068734750E0,-1.087039490E0,6.921456757E0,5.404660950E0
3.088670750E0,-1.346899109E0,6.786736908E0,5.987848206E0
3.108607750E0,-6.652166748E-1,6.179599457E0,4.965474243E0
3.128544750E0,-2.805316315E0,6.032754822E0,4.273313599E0
3.148480750E0,-4.459226990E0,2.812950439E0,5.611830139E0
3.168417750E0,-3.721860352E0,2.735561371E0,8.209079132E0
3.188353750E0,-3.277733917E0,2.449206848E0,1.005728577E1
