"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.011592388E-2,3.211697267E1,1.189511707E2,1.680432892E1,-1.000000000E0,-1.000000000E0,1.476877131E2,1.476877131E2
5.514529943E-1,3.211704114E1,1.189508274E2,1.706748629E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.675647497E-1,3.211715300E1,1.189508416E2,2.250782108E1,7.500000000E-1,3.480468750E1,9.862319784E0,9.862319784E0
1.795572519E0,3.211715518E1,1.189508697E2,2.678107548E1,8.999999762E-1,6.082031250E1,8.799707878E0,8.799707878E0
2.795583487E0,3.211715614E1,1.189508957E2,2.392926884E1,8.999999762E-1,6.996093750E1,5.307696438E0,5.307696438E0
3.795594692E0,3.211715606E1,1.189509175E2,2.132392216E1,1.019999981E0,7.347656250E1,5.365230599E0,5.365230599E0
4.795606017E0,3.211715740E1,1.189509382E2,1.493640995E1,9.800000191E-1,7.593750000E1,4.969980969E0,4.969980969E0
5.795618415E0,3.211715987E1,1.189509584E2,1.454108524E1,1.409999967E0,7.382812500E1,4.932606666E0,4.932606666E0
6.794552565E0,3.211716545E1,1.189509777E2,1.348944950E1,1.379999995E0,6.503906250E1,4.777127953E0,4.777127953E0
7.794568300E0,3.211717446E1,1.189509966E2,1.339930058E1,1.379999995E0,6.714843750E1,3.626707564E0,3.626707564E0
8.794565201E0,3.211718028E1,1.189510147E2,1.385706425E1,1.370000005E0,7.628906250E1,3.562551908E0,3.562551908E0
9.794585347E0,3.211718326E1,1.189510330E2,1.359265995E1,1.250000000E0,8.648437500E1,3.538229302E0,3.538229302E0
1.079457951E1,3.211718498E1,1.189510491E2,1.351325321E1,1.250000000E0,8.648437500E1,3.535533906E0,3.535533906E0
1.179460323E1,3.211718821E1,1.189510646E2,1.353223515E1,1.250000000E0,7.664062500E1,3.535533906E0,3.535533906E0
1.279460692E1,3.211719353E1,1.189510815E2,1.343232059E1,1.279999971E0,6.609375000E1,3.535533906E0,3.535533906E0
1.379463291E1,3.211719821E1,1.189510939E2,1.343232073E1,1.279999971E0,6.609375659E1,4.574574324E0,4.574574324E0
