"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.992283332E-2,2.321307373E1,-3.839608765E1,-2.748410416E1
4.985983332E-2,2.353018188E1,-3.819810486E1,-2.750921631E1
6.979683333E-2,2.393057251E1,-3.782641983E1,-2.746434021E1
8.973383333E-2,2.452769470E1,-3.732361603E1,-2.762217712E1
1.096708333E-1,2.497634888E1,-3.703192520E1,-2.773394012E1
1.296078333E-1,2.538911438E1,-3.678361893E1,-2.758444214E1
1.495448333E-1,2.566514587E1,-3.676562500E1,-2.733296967E1
1.694818333E-1,2.584002686E1,-3.681507874E1,-2.722523880E1
1.894188334E-1,2.589280701E1,-3.695146561E1,-2.701097107E1
2.093558334E-1,2.589694214E1,-3.712324524E1,-2.684674454E1
2.292928334E-1,2.592282104E1,-3.742659760E1,-2.667740250E1
2.492298334E-1,2.589054871E1,-3.777794647E1,-2.603337479E1
2.691668334E-1,2.579531860E1,-3.816050720E1,-2.542095947E1
2.891038334E-1,2.569331360E1,-3.842611313E1,-2.500610733E1
3.090408334E-1,2.568879700E1,-3.873689270E1,-2.472307587E1
3.289778334E-1,2.568127441E1,-3.900610352E1,-2.466002655E1
3.489148334E-1,2.570576477E1,-3.921209717E1,-2.429483032E1
3.688518334E-1,2.588882446E1,-3.964739227E1,-2.344722748E1
3.887888334E-1,2.626628113E1,-4.003683090E1,-2.255415344E1
4.087258334E-1,2.670283508E1,-4.002309418E1,-2.162466812E1
4.286628334E-1,2.723748779E1,-3.991891479E1,-2.108525848E1
4.485998334E-1,2.769206238E1,-3.986547852E1,-2.103187561E1
4.685368333E-1,2.812466431E1,-3.982740021E1,-2.075199890E1
4.884738333E-1,2.850195312E1,-3.978060150E1,-2.042303467E1
5.084108333E-1,2.891256714E1,-3.977954483E1,-2.004460144E1
5.283478333E-1,2.926307678E1,-3.982107925E1,-1.945184326E1
5.482848333E-1,2.945111084E1,-3.975672913E1,-1.902063370E1
5.682218333E-1,2.959519958E1,-3.983334351E1,-1.857140732E1
5.881588333E-1,2.988687134E1,-3.994653320E1,-1.820109558E1
6.080958333E-1,2.999688721E1,-4.003236389E1,-1.757836151E1
6.280328333E-1,3.002938843E1,-4.013180542E1,-1.718655396E1
6.479698333E-1,3.011331177E1,-4.017265701E1,-1.701789474E1
6.679068333E-1,3.026881409E1,-4.006038666E1,-1.699516296E1
6.878438334E-1,3.055857849E1,-3.986972809E1,-1.710704422E1
7.077808334E-1,3.099421692E1,-3.947135925E1,-1.718257904E1
7.277178334E-1,3.148727417E1,-3.899268723E1,-1.725214386E1
7.476548334E-1,3.221675110E1,-3.866606522E1,-1.696735382E1
7.675918334E-1,3.251899719E1,-3.848099518E1,-1.682484818E1
7.875288334E-1,3.273004150E1,-3.813241577E1,-1.712667847E1
8.074649584E-1,3.255468750E1,-3.781224823E1,-1.811198044E1
8.274019584E-1,3.201963806E1,-3.770837021E1,-1.934566498E1
8.473399583E-1,3.119494629E1,-3.727349854E1,-2.154548645E1
8.672769583E-1,3.038319397E1,-3.598057556E1,-2.497286606E1
8.872139583E-1,3.027162170E1,-3.382478333E1,-2.793379211E1
9.071509583E-1,3.110357666E1,-3.120838547E1,-2.987635994E1
9.270879583E-1,3.194209290E1,-2.864088440E1,-3.146984863E1
9.470249583E-1,3.251281738E1,-2.651198959E1,-3.282265091E1
9.669619583E-1,3.285639954E1,-2.490816689E1,-3.379705048E1
9.868989583E-1,3.294334412E1,-2.382330322E1,-3.445842361E1
1.006835958E0,3.284477234E1,-2.339959717E1,-3.482820892E1
1.026772958E0,3.255262756E1,-2.350827217E1,-3.487465668E1
1.046709958E0,3.243284607E1,-2.379631042E1,-3.469124603E1
1.066646958E0,3.241535950E1,-2.405026817E1,-3.453703308E1
1.086583958E0,3.227011108E1,-2.403936195E1,-3.465677261E1
1.106520958E0,3.203822327E1,-2.370643425E1,-3.522519684E1
1.126457958E0,3.192961121E1,-2.303653526E1,-3.580098724E1
1.146394958E0,3.208482361E1,-2.196057320E1,-3.631307220E1
1.166331958E0,3.246864319E1,-2.053474808E1,-3.677681732E1
1.186268958E0,3.294056702E1,-1.881017113E1,-3.713817596E1
1.206205958E0,3.335067749E1,-1.681657791E1,-3.757149506E1
1.226142958E0,3.346092224E1,-1.441826630E1,-3.837331772E1
