"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.615834475E-4,-1.575174408E0,2.983894958E0,9.393865356E0
1.927741617E-2,-1.392703857E0,2.977158966E0,9.793384552E0
3.931641672E-2,-1.296603699E0,2.871329041E0,9.643097076E0
5.935541634E-2,-1.137185211E0,2.797981567E0,9.304650879E0
7.939441688E-2,-9.886940002E-1,2.804867249E0,9.072633362E0
9.943341650E-2,-1.046473846E0,3.000809784E0,9.043144684E0
1.194724161E-1,-1.248403931E0,3.193159790E0,9.149573364E0
1.395114167E-1,-1.249152374E0,3.457061005E0,9.189091187E0
1.595504163E-1,-1.219963074E0,3.539838867E0,9.136999512E0
1.795894168E-1,-1.255888367E0,3.372337189E0,9.098828888E0
1.996284164E-1,-1.317859497E0,3.149300995E0,9.034762115E0
2.196664168E-1,-1.209185486E0,3.101999359E0,9.012608185E0
2.397054164E-1,-1.093925171E0,3.240760803E0,9.158554688E0
2.597444169E-1,-9.602531433E-1,3.205284576E0,9.283095703E0
2.797834165E-1,-9.837542725E-1,3.149600372E0,9.235943756E0
2.998224162E-1,-1.072070618E0,3.212020569E0,9.167685699E0
3.198614167E-1,-1.218915253E0,3.213068390E0,9.142537994E0
3.399004163E-1,-1.319805450E0,3.186723175E0,9.094787292E0
3.599394169E-1,-1.410067749E0,3.265609131E0,9.072333984E0
3.799784165E-1,-1.423390045E0,3.287014618E0,8.904532928E0
4.000174161E-1,-1.663939819E0,3.193010101E0,8.299640808E0
4.200564167E-1,-1.813329163E0,3.446433105E0,7.763755188E0
4.400954163E-1,-2.660567322E0,3.318299561E0,7.274871826E0
4.601344168E-1,-4.674030304E0,2.373164978E0,6.439459076E0
4.801734164E-1,-5.872737579E0,2.838247833E0,5.768105164E0
5.002124170E-1,-6.345005493E0,3.010090485E0,5.647905121E0
5.202514166E-1,-6.233337708E0,2.450703735E0,5.290598145E0
5.402904162E-1,-4.673431549E0,3.080743561E0,5.367238770E0
5.603294168E-1,-1.823657684E0,3.463347931E0,6.119274902E0
5.803684164E-1,-1.077309723E0,5.351521454E0,7.191195831E0
6.004074169E-1,-2.117047577E0,5.999074860E0,9.326056366E0
