"Time (s)","X (hPa)"
-5.826609591E-1,1.035125656E3
4.179110415E-1,1.035125046E3
1.418492042E0,1.035125656E3
2.419069041E0,1.035127640E3
3.419644041E0,1.035127640E3
4.420219041E0,1.035124588E3
4.971167041E0,1.035122375E3
5.971742041E0,1.035121078E3
6.972319041E0,1.035115738E3
7.972900041E0,1.035108490E3
8.973720041E0,1.035102081E3
9.974050041E0,1.035093689E3
1.097462204E1,1.035089645E3
1.197520004E1,1.035084686E3
1.297577504E1,1.035082932E3
1.397635304E1,1.035077667E3
1.497693004E1,1.035074921E3
1.597749904E1,1.035067825E3
1.697807904E1,1.035061188E3
1.797866704E1,1.035056610E3
1.897923604E1,1.035048523E3
1.997981704E1,1.035039673E3
2.098038504E1,1.035030823E3
2.198096204E1,1.035023041E3
2.298154204E1,1.035018311E3
2.398211804E1,1.035008926E3
2.498269404E1,1.034999008E3
2.598326904E1,1.034989166E3
2.698384504E1,1.034977493E3
2.798442004E1,1.034966965E3
2.898499704E1,1.034963150E3
2.998557304E1,1.034962082E3
3.098615004E1,1.034959488E3
3.198672504E1,1.034953690E3
3.298766904E1,1.034948196E3
3.398787604E1,1.034939499E3
3.498846204E1,1.034933014E3
3.598903304E1,1.034930573E3
3.698961304E1,1.034926071E3
3.799018804E1,1.034920654E3
3.899076304E1,1.034912796E3
3.999134404E1,1.034905624E3
4.099192104E1,1.034897003E3
4.199249404E1,1.034895325E3
4.299306804E1,1.034892731E3
4.399364604E1,1.034890900E3
4.499447604E1,1.034883957E3
4.599480104E1,1.034882431E3
4.699537704E1,1.034876938E3
4.799595304E1,1.034875946E3
4.899653004E1,1.034875565E3
4.999710704E1,1.034875336E3
5.099768404E1,1.034871521E3
5.199826004E1,1.034867706E3
5.299884004E1,1.034865952E3
5.399941704E1,1.034861908E3
5.499999504E1,1.034857330E3
5.600056604E1,1.034850540E3
5.700136304E1,1.034842453E3
5.800172004E1,1.034830856E3
5.900229604E1,1.034824295E3
6.000286804E1,1.034822083E3
6.100344604E1,1.034821548E3
6.200402104E1,1.034821548E3
6.300460404E1,1.034824295E3
6.400517704E1,1.034824295E3
6.500575204E1,1.034820786E3
6.600633704E1,1.034819107E3
6.700690604E1,1.034818039E3
6.800748304E1,1.034812241E3
6.900806304E1,1.034809189E3
7.000864104E1,1.034808273E3
7.100921604E1,1.034808273E3
7.200979304E1,1.034811401E3
7.301036504E1,1.034820480E3
7.401094404E1,1.034828873E3
7.501152404E1,1.034831009E3
7.601209704E1,1.034831009E3
7.701267704E1,1.034828415E3
7.801325004E1,1.034815903E3
7.901382604E1,1.034799194E3
8.001440204E1,1.034788818E3
8.101544004E1,1.034777069E3
8.201555804E1,1.034769058E3
8.301612904E1,1.034766006E3
8.401671004E1,1.034764404E3
8.501728604E1,1.034756012E3
8.601786704E1,1.034748383E3
8.701843804E1,1.034739227E3
8.801901804E1,1.034730453E3
8.901958904E1,1.034721756E3
9.002017104E1,1.034721756E3
9.102075004E1,1.034722214E3
