"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.176141668E-2,-5.041741580E-2,-3.508196026E-2,3.393760696E-2
3.180041630E-2,-4.561094195E-2,-6.273010373E-2,3.867536783E-2
5.183941685E-2,-2.252390981E-2,-7.664401084E-2,1.043516118E-2
7.187841646E-2,6.848396361E-2,-2.218402922E-2,-2.621997334E-2
9.191741608E-2,1.093995348E-1,6.316244602E-2,-2.883272991E-2
1.119564166E-1,7.180446386E-2,7.493364066E-2,-2.463775128E-2
1.319954162E-1,-7.916180417E-3,-3.741183784E-3,7.069904357E-3
1.520344168E-1,-7.123930752E-2,-3.624673560E-2,4.709377140E-2
1.720734164E-1,-8.569282293E-2,-1.113031339E-2,7.413299382E-2
1.921124170E-1,-5.337803066E-2,1.148886327E-2,8.086801320E-2
2.121514166E-1,-2.598031238E-2,2.403615788E-2,7.131036371E-2
2.321904162E-1,-3.315625712E-2,1.878232323E-2,6.551072747E-2
2.522294167E-1,-6.531422585E-2,1.294763014E-2,7.526159286E-2
2.722684164E-1,-6.441862136E-2,2.744495869E-2,6.916064024E-2
2.923074169E-1,-4.471038282E-2,6.521321088E-2,5.748528987E-2
3.123464165E-1,-6.030446291E-2,8.032792807E-2,4.522656277E-2
3.323854161E-1,-8.841827512E-2,1.002495959E-1,4.613775760E-2
3.524244167E-1,-1.270406246E-1,8.256737888E-2,7.549578696E-2
3.724634163E-1,-1.914725751E-1,6.018067151E-2,1.268302351E-1
3.925024169E-1,-2.337070853E-1,1.716091633E-1,1.374538839E-1
4.125414165E-1,-2.204282731E-1,3.981300592E-1,1.642372012E-1
4.325804161E-1,-1.586707532E-1,7.437813878E-1,1.954211444E-1
4.526194166E-1,1.601558626E-1,1.110722542E0,9.736431390E-2
4.726584163E-1,8.552956581E-1,1.667668581E0,3.062048741E-2
4.926974168E-1,1.536720872E0,2.106681824E0,1.859336197E-1
5.127364164E-1,1.773933172E0,2.317468882E0,3.290921152E-1
5.327754170E-1,1.688527107E0,2.280383825E0,3.247145116E-1
5.528144166E-1,1.008812308E0,2.561808825E0,5.216945410E-1
5.728534162E-1,7.411959767E-2,2.912826300E0,6.997131109E-1
5.928924168E-1,-6.597909331E-1,3.181127310E0,4.342336059E-1
6.129314164E-1,-9.629237652E-1,3.098015785E0,-1.387516856E-1
6.329694167E-1,-9.600246549E-1,2.374676228E0,-2.818306088E-1
6.530084163E-1,-6.451166272E-1,1.673596501E0,-2.656631470E-1
