"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.176141668E-2,-4.066139147E-2,-2.114090055E-2,4.716937172E-1
3.180041630E-2,-1.269459754E-2,-8.662913114E-2,4.752786452E-1
5.183941685E-2,1.254749621E-1,-1.754518452E-1,1.569948167E-1
7.187841646E-2,3.071141848E-1,-2.057114786E-1,-1.283218253E-1
9.191741608E-2,3.287627698E-1,-6.561453044E-2,-2.063394696E-1
1.119564166E-1,1.398057568E-1,8.717467636E-2,-1.396373570E-1
1.319954162E-1,9.746928424E-2,3.703085527E-1,-4.152634084E-2
1.520344168E-1,1.094060826E-1,5.311575615E-1,-8.571901202E-2
1.720734164E-1,7.588487238E-2,4.437305778E-1,-1.385205388E-1
1.921124170E-1,1.537817717E-2,2.273514390E-1,-1.846743661E-1
2.121514166E-1,5.614818066E-2,1.002157214E-1,-2.368496561E-1
2.321904162E-1,1.668769035E-1,1.738248575E-1,-1.591050768E-1
2.522294167E-1,3.366864780E-1,2.451570877E-1,3.067858636E-2
2.722684164E-1,3.420932521E-1,1.549137926E-1,9.295903444E-3
2.923074169E-1,2.797709964E-1,2.010872081E-1,-7.641024470E-2
3.123464165E-1,1.494270578E-1,2.374484110E-1,-5.321141660E-2
3.323854161E-1,3.039031863E-2,2.020411813E-1,-1.407570988E-1
3.524244167E-1,-4.570300698E-2,2.676922569E-1,-1.655656654E-1
3.724634163E-1,-5.635517210E-2,3.537477762E-1,-2.423729360E-1
3.925024169E-1,-2.499978514E-1,2.708325040E-1,-7.911124903E-1
4.125414165E-1,-3.512315731E-1,4.657687336E-1,-1.349423352E0
4.325804161E-1,-7.919799247E-1,6.764497608E-1,-1.820832310E0
4.526194166E-1,-2.335615767E0,-2.329364070E-1,-2.507353315E0
4.726584163E-1,-3.681355519E0,-4.006687582E-1,-3.233255317E0
4.926974168E-1,-4.042738590E0,-8.465364933E-2,-3.347986459E0
5.127364164E-1,-3.754642474E0,-8.596591070E-1,-3.314362630E0
5.327754170E-1,-2.407708574E0,-1.191769554E0,-3.303730638E0
5.528144166E-1,2.972130945E-1,-1.069412473E0,-2.776152742E0
5.728534162E-1,3.130147563E0,9.391587281E-1,-1.218326438E0
5.928924168E-1,2.414016843E0,1.661000716E0,9.078258383E-1
6.129314164E-1,1.638433680E0,1.700694832E0,2.656906380E0
6.329694167E-1,1.103212304E0,-1.017139243E0,3.657689499E0
6.530084163E-1,4.198634130E-1,-5.857451203E-1,3.652429343E0
6.730474168E-1,2.158464575E-1,2.074328989E-1,2.970801873E0
6.930864165E-1,2.152921414E-1,1.782412595E-1,2.365225629E0
7.131254161E-1,1.499775732E-1,-3.958667323E-1,1.248150746E0
7.331644166E-1,-6.439070821E-2,-7.068412489E-1,5.217774582E-1
7.532034162E-1,-4.928571296E-1,-6.665475011E-1,-2.141963732E-1
7.732424168E-1,-6.847943223E-1,-5.724599540E-2,-4.820924056E-1
7.932814164E-1,-7.265469503E-1,1.671075761E-1,-6.164146435E-1
8.133204170E-1,-7.795256478E-1,8.059802055E-3,-9.796945506E-1
8.333594166E-1,-5.265125334E-1,1.756699464E-1,-1.279070238E0
8.533982914E-1,-5.788679177E-1,2.811788598E-1,-1.309047158E0
8.734372919E-1,-1.325460877E0,-1.108219859E-1,-9.262983620E-1
8.934762916E-1,-1.725387624E0,-9.985024121E-1,-7.530687511E-1
9.135152912E-1,-1.470165431E0,-1.167191075E0,-1.174306260E0
9.335542917E-1,-9.999457973E-1,-1.096540630E0,-2.125883889E0
9.535932913E-1,-1.642451887E0,-1.845296475E0,-2.863197318E0
9.736322919E-1,-1.599949645E0,-2.181391215E0,-2.581890112E0
9.936712915E-1,-1.305783243E0,-2.282331699E0,-3.207196616E0
1.013710291E0,-9.967578954E-1,-3.326948762E0,-3.964464253E0
1.033749292E0,2.084462214E-1,-3.157665437E0,-5.000169282E0
1.053788291E0,3.402939177E-1,-3.055276305E0,-4.269016480E0
