"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.273596287E-2,3.211714059E1,1.189506652E2,1.717133212E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.620995045E-2,3.211715303E1,1.189506638E2,1.717170978E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.620995045E-2,3.211714795E1,1.189506649E2,1.717190242E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.597149014E0,3.211713369E1,1.189506790E2,1.725820817E1,4.082977772E-2,2.490428132E2,2.687172554E1,2.687172554E1
2.597169280E0,3.211712595E1,1.189506893E2,1.712295462E1,1.045447066E-1,1.443533001E2,2.608801291E1,2.608801291E1
3.547186255E0,3.211710048E1,1.189507640E2,1.712549645E1,1.045447066E-1,6.746240796E1,1.852644946E1,1.852644946E1
4.497203112E0,3.211710991E1,1.189508050E2,1.716262185E1,7.521029115E-1,7.574451533E1,1.565518639E1,1.565518639E1
5.447220445E0,3.211711420E1,1.189508430E2,1.722289687E1,1.198971510E0,6.189310365E1,1.343180508E1,1.343180508E1
6.397236943E0,3.211712498E1,1.189508473E2,1.727393644E1,1.114322543E0,5.575609614E1,1.178788586E1,1.178788586E1
7.347488999E0,3.211713235E1,1.189508797E2,1.730930376E1,1.174619794E0,6.162818977E1,1.044538174E1,1.044538174E1
8.297500014E0,3.211713462E1,1.189509053E2,1.737884307E1,1.114322543E0,6.998511745E1,1.582068289E1,1.582068289E1
9.247235537E0,3.211713560E1,1.189509165E2,1.742523966E1,1.059514403E0,5.498259303E1,2.634108999E1,2.634108999E1
1.019723940E1,3.211713109E1,1.189509187E2,1.746968060E1,6.944661140E-1,5.830249354E1,2.676921230E1,2.676921230E1
1.114754283E1,3.211713617E1,1.189509368E2,1.748876264E1,6.719747186E-1,6.161518797E1,9.382178165E0,9.382178165E0
1.209753871E1,3.211714101E1,1.189509589E2,1.754239062E1,7.488904595E-1,5.799492558E1,2.378693755E1,2.378693755E1
1.304780793E1,3.211714859E1,1.189509790E2,1.757633347E1,7.488904595E-1,6.402117452E1,2.061462083E1,2.061462083E1
1.399779737E1,3.211715140E1,1.189509858E2,1.757633352E1,7.488904595E-1,6.402117813E1,2.061462083E1,2.061462083E1
1.499367630E1,3.211715834E1,1.189510057E2,1.760544214E1,9.896058440E-1,6.453431894E1,1.637988689E1,1.637988689E1
1.599364698E1,3.211716607E1,1.189510189E2,1.763122857E1,1.097422838E0,6.937388658E1,1.397433378E1,1.397433378E1
1.699320471E1,3.211716842E1,1.189510306E2,1.763730807E1,8.187620044E-1,6.872776345E1,1.344055599E1,1.344055599E1
1.799317110E1,3.211717305E1,1.189510492E2,1.765309696E1,9.313864708E-1,7.119415256E1,1.321731449E1,1.321731449E1
1.899288726E1,3.211718065E1,1.189510670E2,1.766785936E1,9.313864708E-1,7.519915740E1,1.415962438E1,1.415962438E1
1.999286580E1,3.211718933E1,1.189510896E2,1.766962856E1,1.081966996E0,7.775629374E1,2.101429310E1,2.101429310E1
2.099236941E1,3.211720067E1,1.189511050E2,1.768063790E1,1.165641069E0,6.775722716E1,1.918227191E1,1.918227191E1
2.199234831E1,3.211720916E1,1.189511174E2,1.766874833E1,1.171864510E0,6.237390146E1,1.583122224E1,1.583122224E1
2.299231255E1,3.211720810E1,1.189511296E2,1.767872811E1,1.171864510E0,8.055674946E1,1.645906671E1,1.645906671E1
2.399229050E1,3.211721747E1,1.189511395E2,1.769776683E1,9.027624130E-1,6.922225558E1,1.277453122E1,1.277453122E1
2.499225867E1,3.211722210E1,1.189511549E2,1.772373876E1,9.027624130E-1,7.283201716E1,1.498215461E1,1.498215461E1
2.599223483E1,3.211723692E1,1.189511629E2,1.776468110E1,1.037139416E0,4.915931935E1,1.364418949E1,1.364418949E1
2.699221408E1,3.211725780E1,1.189511747E2,1.782037139E1,1.310731411E0,4.946807031E1,1.055971011E1,1.055971011E1
2.799119663E1,3.211726176E1,1.189511891E2,1.786808517E1,1.310731411E0,5.901384078E1,1.525166079E1,1.525166079E1
2.899118459E1,3.211726241E1,1.189512014E2,1.790423055E1,1.082216978E0,6.229108763E1,6.988163460E0,6.988163460E0
2.999116981E1,3.211726451E1,1.189512102E2,1.793339629E1,1.045958281E0,5.663395202E1,8.425855230E0,8.425855230E0
3.099115574E1,3.211726589E1,1.189512157E2,1.799162855E1,7.410011888E-1,5.375410841E1,1.418475585E1,1.418475585E1
3.199114454E1,3.211726973E1,1.189512347E2,1.807274110E1,1.053452730E0,6.446951854E1,6.405303118E0,6.405303118E0
3.299113512E1,3.211727490E1,1.189512469E2,1.811584387E1,1.053452730E0,6.767503511E1,6.621248704E0,6.621248704E0
3.399112773E1,3.211730087E1,1.189512697E2,1.850265008E1,1.039405047E0,7.576475924E1,6.725851779E0,6.725851779E0
3.499111962E1,3.211730673E1,1.189512858E2,1.869517748E1,1.329300205E0,6.369374048E1,6.936039896E0,6.936039896E0
3.599111700E1,3.211730869E1,1.189512933E2,1.873872387E1,1.004809696E0,6.370444203E1,7.227641723E0,7.227641723E0
3.699110913E1,3.211732019E1,1.189513093E2,1.860823587E1,1.422563850E0,4.709163416E1,7.214739411E0,7.214739411E0
3.799110627E1,3.211732043E1,1.189513159E2,1.860491694E1,8.200914989E-1,5.423329993E1,7.286349360E0,7.286349360E0
3.899110436E1,3.211732555E1,1.189513320E2,1.866532664E1,9.305930009E-1,6.728886115E1,7.452471672E0,7.452471672E0
3.999110305E1,3.211732936E1,1.189513398E2,1.878286054E1,7.895889081E-1,5.967476620E1,7.635662040E0,7.635662040E0
4.099110532E1,3.211732268E1,1.189513481E2,1.899326863E1,7.336086095E-1,7.925387742E1,7.123515284E0,7.123515284E0
4.199110210E1,3.211732672E1,1.189513726E2,1.892806166E1,1.106296342E0,7.563376445E1,7.077434124E0,7.077434124E0
4.299110413E1,3.211732626E1,1.189513834E2,1.908900722E1,9.174679205E-1,7.341292728E1,6.825835285E0,6.825835285E0
