"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.176141668E-2,-2.459222412E1,-3.657566071E0,-4.455355835E1
3.180041630E-2,-2.472128296E1,-3.478839874E0,-4.458966064E1
5.183941685E-2,-2.491506958E1,-3.334270477E0,-4.421362305E1
7.187841646E-2,-2.498284912E1,-3.512607574E0,-4.405099487E1
9.191741608E-2,-2.491175842E1,-3.544979095E0,-4.403872681E1
1.119564166E-1,-2.447964478E1,-3.810634613E0,-4.433569336E1
1.319954162E-1,-2.467819214E1,-3.759746552E0,-4.424295044E1
1.520344168E-1,-2.449342346E1,-3.530170441E0,-4.425244141E1
1.720734164E-1,-2.447680664E1,-3.432781219E0,-4.443878174E1
1.921124170E-1,-2.488540649E1,-3.293849945E0,-4.412640381E1
2.121514166E-1,-2.486099243E1,-3.461521149E0,-4.415692139E1
2.321904162E-1,-2.469741821E1,-3.175098419E0,-4.426898193E1
2.522294167E-1,-2.494050598E1,-3.284053802E0,-4.426397705E1
2.722684164E-1,-2.470413208E1,-3.123416901E0,-4.421545410E1
2.923074169E-1,-2.465567017E1,-3.136180878E0,-4.439529419E1
3.123464165E-1,-2.455091858E1,-3.249500275E0,-4.459967041E1
3.323854161E-1,-2.450569153E1,-2.931423187E0,-4.445358276E1
3.524244167E-1,-2.440837097E1,-2.811611176E0,-4.463363647E1
3.724634163E-1,-2.443664551E1,-2.715740204E0,-4.444879150E1
3.925024169E-1,-2.421928406E1,-2.083911896E0,-4.434045410E1
4.125414165E-1,-2.418360901E1,-2.277660370E0,-4.462918091E1
4.325804161E-1,-2.380155945E1,-2.138141632E0,-4.490017700E1
4.526194166E-1,-2.299392700E1,-1.977016449E0,-4.496658325E1
4.726584163E-1,-2.211874390E1,-2.148441315E0,-4.604302979E1
4.926974168E-1,-2.026510620E1,-2.783596039E0,-4.704736328E1
5.127364164E-1,-1.838282776E1,-4.151500702E0,-4.756161499E1
5.327754170E-1,-1.609590149E1,-5.547061920E0,-4.862832642E1
5.528144166E-1,-1.378974915E1,-6.733730316E0,-4.888497925E1
5.728534162E-1,-1.160104370E1,-7.299915314E0,-4.948788452E1
5.928924168E-1,-8.771118164E0,-6.874904633E0,-4.997311401E1
6.129314164E-1,-6.254623413E0,-6.136325836E0,-5.034378052E1
6.329694167E-1,-3.190109253E0,-5.412075043E0,-5.077954102E1
6.530084163E-1,-1.327468872E0,-4.569484711E0,-5.137600708E1
6.730474168E-1,2.333984375E-1,-4.047740936E0,-5.157568359E1
6.930864165E-1,1.540023804E0,-3.420902252E0,-5.131845093E1
7.131254161E-1,2.860870361E0,-3.232929230E0,-5.144891357E1
7.331644166E-1,3.941879272E0,-2.848979950E0,-5.114916992E1
7.532034162E-1,4.870941162E0,-2.641582489E0,-5.118731689E1
